"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Mucker Lab","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"2","Y Combinator","MemSQL","36,000,000","venture","2016-04-21","Details",""
"3","Y Combinator","Flexport","6,900,000","venture","2014-01-01","Details",""
"4","Y Combinator","Opzi","1,000,000","angel","2010-09-01","Details","Dead"
"5","Y Combinator","FundersClub","6,500,000","seed","2012-10-19","Details",""
"6","Y Combinator","Sift Science","18,000,000","venture","2014-05-14","Details",""
"7","Amplify.LA","Gem","2,000,000","seed","2014-09-17","Details",""
"8","Y Combinator","Clara Labs","7,000,000","venture","2017-07-19","Details",""
"9","Amplify.LA","Gem","1,500,000","angel","2014-02-11","Details",""
"10","Y Combinator","Xobni","16,200,000","venture","2010-04-15","Details","Exited"
"11","Imagine K12","Remind101","3,500,000","venture","2013-09-18","Details",""
"12","Y Combinator","HomeJoy","38,000,000","venture","2013-12-05","Details","Dead"
"13","RockHealth","Mango Health","1,600,000","seed","2012-11-05","Details",""
"14","Y Combinator","Vest","750,000","venture","2015-06-01","Details","Exited"
"15","Mucker Lab","The Black Tux","25,000,000","venture","2015-09-09","Details",""
"16","Y Combinator","Lob","7,000,000","venture","2014-09-08","Details",""
"17","AngelPad","Simplifeye","3,000,000","venture","2017-03-09","Details",""
"18","Y Combinator","Sift Science","4,000,000","venture","2013-03-19","Details",""
"19","The Brandery","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"20","500startups","central.ly","4,000,000","venture","2014-05-16","Details",""
"21","Techstars","Rewind Me Inc","800,000","seed","2012-06-14","Details","Dead"
"22","Excelerate Labs","GiveForward","2,000,000","venture","2012-07-25","Details","Exited"
"23","Mucker Lab","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"24","Imagine K12","Remind101","1,000,000","seed","2012-01-01","Details",""
"25","Y Combinator","Xobni","4,260,000","venture","2007-03-26","Details","Exited"
"26","Y Combinator","Flexport","65,000,000","venture","2016-09-26","Details",""
"27","Y Combinator","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"28","The Brandery","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"29","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"30","Y Combinator","Bloomthat","5,500,000","venture","2015-06-11","Details",""
"31","Y Combinator","Thalmic Labs (Myo)","120,000,000","venture","2016-09-19","Details",""
"32","Y Combinator","Lygos","13,000,000","venture","2016-12-12","Details",""
"33","DreamIT Ventures","Adapt.ly","2,000,000","venture","2011-04-18","Details",""
"34","Y Combinator","Airware","25,000,000","venture","2014-07-23","Details",""
"35","RockHealth","Sano Intelligence","3,750,000","seed","2013-01-07","Details",""
"36","Y Combinator","Vest","750,000","venture","2015-06-01","Details","Exited"
"37","RockHealth","Sano Intelligence","15,250,000","seed","2015-06-19","Details",""
"38","Y Combinator","Nova Credit","3,300,000","seed","2016-09-21","Details",""
"39","Y Combinator","Castle.io","2,000,000","seed","2016-11-09","Details",""
"40","Y Combinator","Xobni","7,000,000","venture","2009-01-05","Details","Exited"
"41","Imagine K12","Remind101","1,000,000","seed","2012-01-01","Details",""
"42","Y Combinator","MemSQL","35,000,000","venture","2014-01-22","Details",""
"43","Y Combinator","Flexport","22,100,000","venture","2015-08-06","Details",""
"44","Techstars","Foodzie","1,000,000","seed","2008-12-16","Details","Exited"
"45","Y Combinator","HomeJoy","24,490,945","venture","2013-10-01","Details","Dead"
"46","Y Combinator","Notable Labs","","seed","2014-12-01","Details",""
"47","RockHealth","Mango Health","1,450,000","seed","2012-07-31","Details",""
"48","Imagine K12","Remind101","15,000,000","venture","2014-02-04","Details",""
"49","Amplify.LA","Gem","1,300,000","seed","2015-04-02","Details",""
"50","Y Combinator","Move Loot","9,000,000","venture","2015-02-10","Details",""
"51","Y Combinator","Airware","3,000,000","seed","2013-03-31","Details",""
"52","Y Combinator","Airware","12,200,000","venture","2013-05-15","Details",""
"53","Y Combinator","Xobni","3,200,000","venture","2009-03-24","Details","Exited"
"54","Imagine K12","Remind101","40,000,000","venture","2014-09-30","Details",""
"55","Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"56","Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",""
"57","Mucker Lab","The Black Tux","10,000,000","venture","2015-01-21","Details",""
"58","Y Combinator","HomeJoy","1,700,000","seed","2013-03-05","Details","Dead"
"59","The Brandery","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"60","Y Combinator","GOAT","1,600,000","angel","2011-05-01","Details",""
"61","Y Combinator","URX","12,000,000","venture","2014-04-28","Details","Exited"
"62","The Brandery","Bitcasa","1,500,000","seed","2011-01-01","Details","Dead"
"63","Y Combinator","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
