"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Flashstarts","Bracketr","25,000","seed","2014-06-15","Details",""
"2","Flashstarts","BOLD Guidance","450,000","seed","2014-03-17","Details",""
"3","Flashstarts","Crowdentials","20,000","seed","2013-06-03","Details",""
"4","Flashstarts","Remesh","1,075,000","angel","2014-12-10","Details",""
"5","Flashstarts","Trailhead CFR now Complion","450,000","seed","2014-03-17","Details",""
"6","Flashstarts","AProofed","20,000","seed","2013-06-01","Details",""
"7","Flashstarts","StemPowerKids","25,000","seed","2014-05-27","Details",""
"8","Flashstarts","Travel Later","25,000","angel","2014-05-01","Details",""
"9","Flashstarts","Lufthouse","25,000","seed","2014-05-15","Details",""
"10","Flashstarts","BOLD Guidance","39,000","angel","2013-06-01","Details",""
"11","Flashstarts","Class6ix","25,000","seed","2014-06-09","Details",""
"12","Flashstarts","Curiosidy","20,000","seed","2013-06-01","Details",""
"13","Flashstarts","KnotProfit","25,000","seed","2014-05-01","Details",""
"14","Flashstarts","Smooth","20,000","seed","2013-06-03","Details",""
"15","Flashstarts","Vestor","25,000","seed","2014-05-01","Details",""
"16","Flashstarts","Trailhead CFR now Complion","20,000","angel","2013-06-01","Details",""
"17","Flashstarts","Crowdentials","300,000","seed","2014-03-17","Details",""
"18","Flashstarts","Mango","25,000","seed","2014-05-21","Details",""
