"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Bonafide","850,000","seed","2015-02-02","Details",""
"2","Y Combinator","WorkLife","900,000","seed","2014-09-02","Details","Exited"
"3","Techstars","Fitspot","900,000","seed","2016-07-31","Details",""
"4","500startups","Contactually","2,000,000","seed","2014-11-04","Details",""
"5","Boost VC","Airenvy","2,650,000","venture","2015-01-20","Details",""
"6","500startups","Growbots","600,000","angel","2015-10-24","Details",""
"7","Startmate","Happy Inspector","7,500,000","venture","2016-10-06","Details",""
"8","Y Combinator","Cruise","12,500,000","venture","2015-09-18","Details","Exited"
"9","Y Combinator","SketchDeck","1,700,000","seed","2015-12-14","Details",""
"10","Startmate","Happy Inspector","2,781,000","venture","2015-02-19","Details",""
"11","Y Combinator","BlueSmart","11,500,000","seed","2015-10-14","Details",""
