"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Smyte","2,250,000","seed","2015-06-23","Details",""
"2","DreamIT Ventures","SeatGeek","1,650,000","venture","2012-08-29","Details",""
"3","Y Combinator","CardPool","","seed","2010-01-01","Details","Exited"
"4","Y Combinator","Firebase","1,400,000","seed","2012-05-24","Details","Exited"
"5","Y Combinator","Backtype","1,000,000","seed","2011-03-10","Details","Exited"
"6","AngelPad","Hall (was Companyline)","580,000","seed","2011-10-17","Details","Exited"
"7","Techstars","Plated","","seed","2014-02-05","Details",""
"8","Techstars","ThriveHive","1,500,000","seed","2013-07-09","Details","Exited"
"9","Y Combinator","Listia","15,000","seed","2009-06-01","Details",""
"10","Y Combinator","Sift Science","1,600,000","seed","2011-09-01","Details",""
"11","RockHealth","Omada Health","20,000","seed","2011-05-01","Details",""
"12","Y Combinator","DailyBooth","15,000","seed","2009-08-19","Details","Exited"
"13","Techstars","ThriveHive","","venture","2012-06-27","Details","Exited"
"14","Y Combinator","YesGraph","1,300,000","seed","2013-05-22","Details",""
"15","500startups","Tout","5,210,000","venture","2013-11-10","Details","Exited"
"16","Techstars","Plated","5,000,000","venture","2014-01-06","Details",""
"17","Excelerate Labs","GiveForward","15,000","seed","2010-06-01","Details","Exited"
"18","DreamIT Ventures","SeatGeek","1,000,000","venture","2010-07-21","Details",""
"19","Y Combinator","Heyzap","3,000,000","venture","2010-06-23","Details","Exited"
"20","Y Combinator","Custora","","seed","2012-01-05","Details",""
"21","Y Combinator","Heyzap","650,000","seed","2009-05-27","Details","Exited"
"22","Techstars","Drifty","2,600,000","venture","2015-04-01","Details",""
"23","500startups","CompStak","4,450,000","venture","2013-04-10","Details",""
"24","Techstars","Adstruc","1,100,000","seed","2010-09-28","Details",""
"25","Techstars","PillPack","3,500,000","venture","2013-07-01","Details",""
"26","The Alchemist Accelerator","zipongo","","venture","2011-03-23","Details",""
"27","RockHealth","Zipongo","","venture","2011-03-23","Details",""
"28","Y Combinator","Chirply","1,100,000","seed","2011-04-07","Details",""
"29","500startups","Tout","15,000,000","venture","2015-03-03","Details","Exited"
"30","AngelPad","Bedly","2,700,000","seed","2017-04-20","Details",""
"31","RockHealth","Omada Health","4,700,000","venture","2013-03-21","Details",""
"32","AngelPad","Bedly","","seed","2016-04-25","Details",""
"33","Y Combinator","Codecademy","2,500,000","venture","2011-10-27","Details",""
"34","500startups","Tout","350,000","seed","2011-05-15","Details","Exited"
"35","RockHealth","Zipongo","3,500,000","seed","2012-07-25","Details",""
"36","Techstars","Contently","335,000","debt_financing","2011-07-18","Details",""
"37","Excelerate Labs","GiveForward","2,000,000","venture","2012-07-25","Details","Exited"
"38","Blueprint Health","Meddik","750,000","seed","2012-05-24","Details",""
"39","Y Combinator","Tutorspree","1,000,000","seed","2011-12-20","Details","Exited"
"40","Techstars","CoachUp","2,700,000","seed","2012-11-14","Details",""
"41","Techstars","ThriveHive","1,500,000","seed","2013-07-09","Details","Exited"
"42","Techstars","Plated","","seed","2013-04-02","Details",""
"43","The Alchemist Accelerator","zipongo","3,500,000","seed","2012-07-25","Details",""
"44","Techstars","PillPack","550,000","seed","2013-04-01","Details",""
"45","Y Combinator","Gobble","1,200,000","venture","2011-05-11","Details",""
"46","Mucker Lab","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"47","Y Combinator","Optimizely","28,000,000","venture","2013-04-16","Details",""
"48","Entrepreneurs Roundtable Accelerator","Centzy","1,600,000","seed","2013-03-27","Details",""
"49","Y Combinator","Zencoder","","seed","2010-02-01","Details","Exited"
"50","Techstars","Change Collective","1,400,000","seed","2014-01-21","Details",""
"51","Techstars","ThriveHive","","venture","2012-06-27","Details","Exited"
"52","Y Combinator","Sift Science","4,000,000","venture","2013-03-19","Details",""
"53","Y Combinator","Cue","700,000","seed","2010-08-31","Details","Exited"
"54","Y Combinator","Smyte","4,000,000","venture","2017-03-28","Details",""
"55","Techstars","Plated","","seed","2013-03-12","Details",""
"56","Techstars","Plated","1,400,000","seed","2013-05-09","Details",""
"57","Y Combinator","Smyte","","seed","2014-12-22","Details",""
"58","500startups","Tout","920,000","seed","2013-04-04","Details","Exited"
"59","DreamIT Ventures","SeatGeek","20,000","seed","2009-05-22","Details",""
"60","Y Combinator","Listia","1,750,000","seed","2011-04-19","Details",""
"61","DreamIT Ventures","SeatGeek","550,000","venture","2010-10-13","Details",""
"62","Y Combinator","Couple","4,200,000","seed","2012-05-02","Details","Exited"
"63","Techstars","Coursekit","1,000,000","venture","2011-06-27","Details","Exited"
"64","Y Combinator","1000Memories","15,000","seed","2010-01-01","Details","Exited"
"65","Y Combinator","Zencoder","2,000,000","venture","2011-04-12","Details","Exited"
