"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Smore","1,700,000","seed","2014-05-06","Details",""
"2","Techstars","oneforty","1,980,000","venture","2010-01-11","Details","Exited"
"3","Techstars","Giant Thinkwell","3,000,000","venture","2013-04-03","Details",""
"4","Techstars","Deal Co-op","500,000","angel","2011-02-01","Details",""
"5","Techstars","Giant Thinkwell","300,000","seed","2012-07-01","Details",""
"6","Techstars","Smore","","seed","2011-11-01","Details",""
"7","Techstars","Tred","1,700,000","angel","2013-01-15","Details",""
"8","Techstars","Highlighter.com","300,000","angel","2011-03-15","Details","Exited"
"9","Techstars","MobileDevHQ","650,000","seed","2012-12-20","Details","Exited"
"10","Techstars","EveryMove","2,600,000","venture","2012-05-09","Details","Exited"
"11","Techstars","Highlighter.com","330,000","angel","2011-12-01","Details","Exited"
"12","Techstars","MobileDevHQ","","undisclosed","2009-02-01","Details","Exited"
"13","Techstars","Giant Thinkwell","600,000","seed","2011-04-15","Details",""
"14","Techstars","The Shared Web","225,000","convertible_note","2011-01-01","Details","Exited"
"15","Techstars","FlexMinder","1,200,000","venture","2013-01-30","Details","Exited"
"16","Techstars","Thinkfuse","520,000","angel","2011-03-24","Details","Exited"
