"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","FounderFuel","LiveRides","27,000","seed","2012-05-01","Details",""
"2","FounderFuel","Swift Identity","50,000","seed","2013-04-15","Details",""
"3","LaunchpadLA","Listn","500,000","seed","2013-11-05","Details","Exited"
"4","FounderFuel","Binder","50,000","seed","2014-12-01","Details",""
"5","FounderFuel","Appifier","325,000","seed","2012-05-23","Details","Exited"
"6","FounderFuel","International Gaming League","22,000","seed","2012-12-01","Details",""
"7","FounderFuel","Shoparound","22,000","seed","2012-05-01","Details",""
"8","FounderFuel","Seevibes","200,000","seed","2012-02-28","Details",""
"9","Techstars","Provender","50,000","seed","2013-04-15","Details",""
"10","FounderFuel","OpenCare","1,500,000","seed","2013-08-29","Details",""
"11","FounderFuel","Now In Store","50,000","seed","2013-04-15","Details",""
"12","FounderFuel","Listn","500,000","seed","2013-11-05","Details",""
"13","Techstars","Mosaic Manufacturing","1,500,000","seed","2016-08-14","Details",""
"14","FounderFuel","PayPhoneApp","22,000","seed","2012-05-01","Details",""
"15","FounderFuel","Mosaic","1,500,000","seed","2016-08-14","Details",""
"16","FounderFuel","Login Radius","1,300,000","venture","2014-02-12","Details",""
"17","FounderFuel","MyCustomizer","50,000","seed","2012-12-01","Details",""
"18","FounderFuel","TattooHero","50,000","seed","2014-04-01","Details",""
"19","FounderFuel","Mejuri","50,000","seed","2014-12-01","Details",""
"20","FounderFuel","Openera","250,000","seed","2012-12-07","Details","Exited"
"21","FounderFuel","Instagrad","50,000","seed","2013-07-01","Details",""
"22","Y Combinator","Vanhawks","","undisclosed","2014-03-01","Details","Exited"
"23","FounderFuel","Vain Pursuits","50,000","seed","2014-04-01","Details",""
"24","FounderFuel","PlayerTakesAll","22,000","seed","2011-08-01","Details","Dead"
"25","FounderFuel","Vanhawks","","undisclosed","2014-03-01","Details","Exited"
"26","FounderFuel","Kiwi Wearables","50,000","seed","2014-04-01","Details",""
"27","Y Combinator","Sharethebus","50,000","seed","2015-05-07","Details",""
"28","FounderFuel","Flatbook","","seed","2014-01-01","Details",""
"29","FounderFuel","Second Funnel","","seed","2012-10-01","Details",""
"30","FounderFuel","Xpertsea","1,250,000","seed","2015-05-08","Details",""
"31","FounderFuel","Truth","50,000","seed","2014-04-01","Details","Exited"
"32","Y Combinator","OOHLALA","","seed","2012-03-09","Details",""
"33","FounderFuel","DoBundle","50,000","seed","2014-04-01","Details",""
"34","FounderFuel","Oohlala","","seed","2012-03-09","Details",""
"35","FounderFuel","CrowdMedia","50,000","seed","2013-04-01","Details",""
"36","FounderFuel","Seamless Planet","50,000","seed","2014-12-01","Details",""
"37","FounderFuel","Urbita","650,000","seed","2013-01-01","Details","Dead"
"38","FounderFuel","Wavo","","seed","2012-12-23","Details",""
"39","Nxtp.labs","Urbita","650,000","seed","2013-01-01","Details","Dead"
"40","FounderFuel","ReelyActive","22,000","seed","2012-12-01","Details",""
"41","FounderFuel","Epilogger","50,000","seed","2012-05-01","Details",""
"42","FounderFuel","Redtree Robotics","104,000","seed","2014-09-01","Details",""
"43","FounderFuel","Playerize","1,000,000","venture","2012-01-04","Details","Exited"
"44","FounderFuel","Sharethebus","50,000","seed","2015-05-07","Details",""
"45","FounderFuel","Vuru","1,000,000","seed","2015-04-29","Details",""
"46","500startups","Mejuri","50,000","seed","2014-12-01","Details",""
