"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Mobiplug","2,700,000","seed","2012-09-25","Details",""
"2","Techstars","Occipital","7,000,000","venture","2011-08-10","Details",""
"3","500startups","Havenly","7,500,000","venture","2015-11-04","Details",""
"4","Orange Fab","phone halo","8,700,000","venture","2015-10-06","Details",""
"5","Y Combinator","CoinTent","1,075,000","seed","2015-04-20","Details",""
"6","Techstars","Orbotix","5,000,000","venture","2012-05-25","Details",""
"7","Techstars","Orbotix","20,000,000","venture","2014-05-05","Details",""
"8","Techstars","Distil","10,000,000","venture","2014-05-27","Details",""
"9","Techstars","FullContact","10,000,000","venture","2015-01-29","Details",""
"10","Techstars","Orbotix","5,000,000","venture","2011-04-07","Details",""
"11","Portland Incubator Experiment (PIE)","Cloudability","24,000,000","venture","2016-06-06","Details",""
"12","Techstars","Casabots","6,284,557","venture","2017-03-03","Details",""
"13","Techstars","Pathful","400,000","angel","2014-06-01","Details","Exited"
"14","Techstars","Kato","1,760,000","venture","2013-08-01","Details",""
"15","Mergelane","Havenly","7,500,000","venture","2015-11-04","Details",""
"16","Techstars","UniqueSound","1,000,000","seed","2015-09-22","Details",""
"17","Techstars","Occipital","13,000,000","venture","2015-07-29","Details",""
"18","Techstars","Orbotix","20,000,000","venture","2014-05-05","Details",""
"19","Techstars","Orbotix","45,000,000","venture","2015-06-01","Details",""
"20","Y Combinator","Chute","7,000,000","venture","2013-05-07","Details",""
"21","Techstars","SendGrid","21,600,000","venture","2012-01-17","Details",""
"22","Portland Incubator Experiment (PIE)","Cloudability","8,700,000","venture","2012-07-12","Details",""
"23","Techstars","Bamba","1,100,000","seed","2017-02-14","Details",""
"24","Techstars","SendGrid","33,000,000","venture","2016-11-30","Details",""
"25","Techstars","Orbotix","45,000,000","venture","2015-06-01","Details",""
"26","Techstars","Distil","21,000,000","venture","2015-06-30","Details",""
"27","Portland Seed Fund","Cloudability","24,000,000","venture","2016-06-06","Details",""
"28","Techstars","Cloudability","8,700,000","venture","2012-07-12","Details",""
"29","Portland Seed Fund","Cloudability","8,700,000","venture","2012-07-12","Details",""
"30","Techstars","SendGrid","20,000,000","venture","2014-12-02","Details",""
"31","Techstars","Orbotix","5,000,000","venture","2011-04-07","Details",""
"32","Straight Shot","BuyNow","355,000","seed","2014-06-02","Details","Dead"
"33","Techstars","SendGrid","5,000,000","venture","2010-04-20","Details",""
"34","Techstars","Cloudability","24,000,000","venture","2016-06-06","Details",""
"35","Techstars","FullContact","7,000,000","venture","2012-07-09","Details",""
"36","500startups","Chewse","7,300,000","venture","2017-06-06","Details",""
"37","Media Camp","Chute","7,000,000","venture","2013-05-07","Details",""
"38","Techstars","FullContact","25,000,000","venture","2016-08-10","Details",""
"39","iVentures10","Next Big Sound","6,500,000","venture","2012-01-03","Details","Exited"
"40","Techstars","PivotDesk","3,235,000","seed","2012-09-24","Details","Exited"
"41","Techstars","Fortified Bicycle","800,000","venture","2014-07-19","Details",""
"42","Techstars","SideTour","2,500,000","venture","2013-03-25","Details","Exited"
"43","iVentures10","Next Big Sound","1,000,000","seed","2009-12-03","Details","Exited"
"44","500startups","Vango","2,200,000","seed","2015-05-28","Details",""
"45","500startups","Chewse","5,900,000","venture","2015-08-03","Details",""
"46","Techstars","Distil","21,000,000","venture","2016-08-02","Details",""
"47","Techstars","Codementor","1,200,000","seed","2015-08-26","Details",""
"48","Techstars","Mocavo","4,100,000","venture","2012-05-16","Details",""
"49","Techstars","Orbotix","5,000,000","venture","2012-05-25","Details",""
"50","Techstars","Revolar","118,000","seed","2001-01-01","Details",""
"51","Mergelane","Havenly","5,800,000","venture","2016-03-29","Details",""
"52","Techstars","PivotDesk","3,625,000","venture","2014-04-10","Details","Exited"
"53","Techstars","Revolar","3,000,000","venture","2015-11-26","Details",""
"54","500startups","Havenly","5,800,000","venture","2016-03-29","Details",""
"55","Techstars","SideTour","1,500,000","seed","2011-10-17","Details","Exited"
"56","Techstars","Mobiplug","4,500,000","venture","2013-11-25","Details",""
"57","Y Combinator","Mattermark","7,300,000","venture","2016-03-20","Details",""
