"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","SendBird","120,000","seed","2015-11-21","Details",""
"2","500startups","Tamatem","450,000","seed","2014-06-10","Details",""
"3","500startups","Tamatem","","undisclosed","2013-09-19","Details",""
"4","Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",""
"5","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
"6","DreamIT Ventures","Parsely","5,232,753","venture","2013-08-26","Details",""
"7","Y Combinator","ClearTax","120,000","seed","2014-07-16","Details",""
"8","Y Combinator","Padlet","380,000","seed","2013-05-01","Details",""
"9","Y Combinator","Asseta","1,000,000","seed","2015-03-13","Details",""
"10","Y Combinator","Glio","","seed","2013-09-01","Details",""
"11","Y Combinator","Notable Labs","","venture","2015-05-26","Details",""
"12","Y Combinator","Platzi","120,000","seed","2014-12-01","Details",""
"13","Y Combinator","Instavest","","undisclosed","2014-03-01","Details",""
"14","Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"15","Y Combinator","Scentbird","1,000,000","seed","2015-08-12","Details",""
"16","500startups","BTCjam","6,100,000","venture","2014-12-24","Details","Dead"
"17","Y Combinator","Verbling","2,700,000","venture","2014-12-12","Details",""
"18","Y Combinator","VOIQ","2,000,000","seed","2015-08-11","Details",""
"19","Y Combinator","LeadGenius","6,000,000","venture","2014-10-08","Details",""
"20","Y Combinator","Medisas","","seed","2013-04-01","Details",""
"21","Y Combinator","WorkLife","900,000","seed","2014-09-02","Details","Exited"
"22","DreamIT Ventures","Octane Lending","","venture","2016-04-13","Details",""
"23","Y Combinator","Coinbase","600,000","seed","2012-09-12","Details",""
"24","Y Combinator","BlueSmart","2,000,000","product_crowdfunding","2015-01-23","Details",""
"25","Orange Fab","Videopixie","","undisclosed","2014-02-06","Details",""
"26","Y Combinator","BlueSmart","11,500,000","seed","2015-10-14","Details",""
"27","500startups","Shopeando","","seed","2013-07-29","Details",""
"28","Y Combinator","Sourcery","3,000,000","seed","2015-01-29","Details",""
"29","Y Combinator","Coinbase","6,109,590","venture","2013-05-07","Details",""
"30","500startups","central.ly","1,000,000","seed","2013-03-06","Details",""
"31","Y Combinator","BlueSmart","","venture","2014-03-01","Details",""
"32","Y Combinator","RankScience","125,000","seed","2016-05-18","Details",""
"33","Y Combinator","Partnered","98,400","seed","2012-12-01","Details",""
"34","Y Combinator","Abacus","3,500,000","seed","2014-10-29","Details",""
"35","Y Combinator","Birdly","120,000","seed","2015-11-21","Details",""
"36","500startups","Pop Up Archive","100,000","angel","2014-04-30","Details",""
"37","Y Combinator","Scentbird","2,800,000","seed","2016-03-30","Details",""
"38","The Alchemist Accelerator","Qbox","2,400,000","seed","2015-08-26","Details",""
"39","Y Combinator","BoostedBoards","","seed","2013-07-01","Details",""
"40","Y Combinator","TrueVault","2,500,000","seed","2014-03-27","Details",""
