"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","GrubMarket","20,000,000","venture","2016-08-04","Details",""
"2","The Brandery","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"3","Y Combinator","AirBnb","1,500,000,000","venture","2015-06-28","Details",""
"4","Y Combinator","Iris Automations","1,500,000","venture","2017-01-18","Details",""
"5","Y Combinator","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"6","Y Combinator","GrubMarket","10,000,000","venture","2015-09-18","Details",""
"7","Techstars","Synack","21,250,000","venture","2017-04-11","Details",""
"8","500startups","CareerDean","1,200,000","seed","2015-05-11","Details",""
"9","Techstars","Synack","25,000,000","venture","2015-02-19","Details",""
"10","The Brandery","FlightCar","20,718,608","venture","2015-10-02","Details","Exited"
"11","Y Combinator","GrubMarket","2,100,000","seed","2015-01-27","Details",""
"12","Y Combinator","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"13","500startups","Totspot","1,800,000","seed","2014-09-01","Details","Exited"
"14","Y Combinator","Function of Beauty","9,500,000","venture","2017-03-07","Details",""
