"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","GameFounders","Yellow Monkey Studios","10,000","seed","2013-02-01","Details",""
"2","GameFounders","Baila","10,000","seed","2012-08-01","Details",""
"3","GameFounders","Time Plus Q","15,000","seed","2013-02-01","Details",""
"4","GameFounders","Stormbringer Studios","15,000","seed","2013-08-01","Details",""
"5","GameFounders","Redbee","12,500","seed","2013-08-01","Details",""
"6","Boost VC","imgnation","15,000","seed","2015-10-01","Details",""
"7","GameFounders","Tiny Lab Productions","15,000","seed","2013-02-01","Details",""
"8","GameFounders","Dev9k Games","15,000","seed","2013-03-01","Details",""
"9","GameFounders","Colto","10,000","seed","2013-02-01","Details",""
"10","GameFounders","Bad Seed","15,000","seed","2012-10-01","Details",""
"11","GameFounders","Retora Black","15,000","seed","2013-08-01","Details",""
"12","GameFounders","X3M Games","15,000","seed","2013-02-01","Details",""
"13","GameFounders","Cute Attack","10,000","seed","2013-08-01","Details",""
"14","GameFounders","Mind on Games","10,000","seed","2012-08-01","Details",""
"15","GameFounders","Blackbambooz Studio","15,000","seed","2013-08-01","Details",""
"16","GameFounders","Fraktalia Studios","15,000","seed","2013-08-01","Details",""
"17","GameFounders","Glowforth","10,000","seed","2012-08-01","Details",""
"18","GameFounders","Appevo Studio","12,500","seed","2013-08-01","Details",""
