"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Beep","1,600,000","seed","2014-06-01","Details",""
"2","Y Combinator","SocialCam","","angel","2012-04-30","Details","Exited"
"3","Y Combinator","Coinbase","600,000","seed","2012-09-12","Details",""
"4","Y Combinator","SpoonRocket","2,500,000","seed","2013-09-21","Details","Exited"
"5","Y Combinator","LeadGenius","6,000,000","venture","2014-10-08","Details",""
"6","Y Combinator","Comprehend Systems","1,200,000","seed","2011-11-08","Details",""
"7","Y Combinator","VayCayHero","2,800,000","seed","2014-12-09","Details",""
"8","Y Combinator","Lob","","venture","2016-05-12","Details",""
"9","Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"10","Y Combinator","Tagstand","1,100,000","seed","2011-10-14","Details",""
"11","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"12","Y Combinator","Pushbullet","1,500,000","seed","2015-01-27","Details",""
"13","Y Combinator","Sendwithus","2,300,000","seed","2014-09-25","Details",""
"14","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
"15","Y Combinator","Her","1,000,000","seed","2015-03-18","Details",""
"16","Y Combinator","Beep","2,400,000","seed","2014-12-01","Details",""
"17","Y Combinator","Outbound","400,000","seed","2014-10-01","Details","Exited"
"18","Y Combinator","BufferBox","1,000,000","seed","2012-08-01","Details","Exited"
"19","Y Combinator","Ambition","","seed","2014-02-01","Details",""
"20","Y Combinator","Kamcord","15,000,000","venture","2014-12-11","Details",""
"21","Y Combinator","Panorama Education","4,000,000","seed","2013-10-21","Details",""
"22","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"23","Y Combinator","Meta Space Glasses","23,000,000","venture","2015-01-28","Details",""
"24","Y Combinator","Amicus","3,200,000","seed","2012-11-13","Details",""
"25","Imagine K12","Panorama","4,000,000","seed","2013-10-21","Details",""
"26","Y Combinator","Sift Science","1,600,000","seed","2011-09-01","Details",""
"27","Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",""
"28","Y Combinator","Framed Data","2,000,000","seed","2014-12-11","Details","Exited"
"29","Y Combinator","Kicksend","1,000,000","seed","2013-04-13","Details","Exited"
"30","Y Combinator","Front","3,100,000","seed","2014-10-01","Details",""
"31","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"32","Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
"33","Y Combinator","Priceonomics","1,500,000","seed","2012-05-04","Details",""
"34","Y Combinator","Survata","6,000,000","venture","2015-07-21","Details",""
"35","Y Combinator","Taplytics","2,400,000","seed","2015-05-20","Details",""
