"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LaunchpadLA","Triptrotting","1,000,000","venture","2012-03-08","Details",""
"2","Imagine K12","NoRedInk","2,000,000","seed","2013-08-21","Details",""
"3","Y Combinator","Ambition","","seed","2014-02-01","Details",""
"4","AngelPad","Crittercism","1,200,000","seed","2011-07-14","Details","Exited"
"5","Techstars","Wander","1,200,000","seed","2012-04-19","Details","Exited"
"6","AngelPad","LocBox","5,041,000","venture","2012-06-01","Details",""
"7","Y Combinator","Panorama Education","12,000,000","venture","2015-08-04","Details",""
"8","AngelPad","Crittercism","5,500,000","venture","2012-06-01","Details","Exited"
"9","AngelPad","Vungle","6,500,000","venture","2013-08-01","Details",""
"10","Techstars","WantWorthy","1,000,000","seed","2012-08-09","Details","Dead"
"11","Betaspring","Tracelytics","600,000","seed","2011-11-03","Details","Exited"
"12","Betaspring","Tracelytics","5,200,000","venture","2012-03-22","Details","Exited"
"13","AngelPad","Shopobot","420,000","seed","2011-06-16","Details",""
"14","Techstars","Ubersense","1,100,000","seed","2012-09-17","Details","Exited"
"15","AngelPad","Vungle","17,000,000","venture","2014-02-06","Details",""
"16","Y Combinator","Abacus","3,500,000","seed","2014-10-29","Details",""
"17","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"18","Imagine K12","Panorama","12,000,000","venture","2015-08-04","Details",""
"19","AngelPad","Astrid","1,900,000","seed","2012-04-13","Details","Exited"
"20","Y Combinator","FreshPlum","1,044,999","seed","2014-02-13","Details","Exited"
"21","AngelPad","Crittercism","12,000,000","venture","2013-03-12","Details","Exited"
"22","Y Combinator","Tagstand","750,000","seed","2014-04-04","Details",""
"23","Techstars","Ordr.in","650,000","seed","2011-10-18","Details","Dead"
"24","Imagine K12","Panorama","4,000,000","seed","2013-10-21","Details",""
"25","Techstars","ThinkNear","1,630,000","venture","2011-08-13","Details","Exited"
"26","Y Combinator","Panorama Education","4,000,000","seed","2013-10-21","Details",""
"27","Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",""
"28","Y Combinator","URX","12,000,000","venture","2014-04-28","Details","Exited"
"29","Y Combinator","Circuithub","","seed","2012-04-01","Details",""
"30","Y Combinator","Ambition","2,000,000","seed","2014-06-04","Details",""
"31","Y Combinator","FreshPlum","1,440,000","seed","2011-11-02","Details","Exited"
"32","Y Combinator","EasyPost","2,250,000","seed","2014-01-01","Details",""
"33","AngelPad","Vungle","2,000,000","seed","2012-05-02","Details",""
