"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","DreamIT Ventures","1DocWay","1,700,000","seed","2015-07-21","Details","Exited"
"2","500startups","central.ly","4,000,000","venture","2014-05-16","Details",""
"3","Entrepreneurs Roundtable Accelerator","Stray Boots","2,000,000","venture","2012-11-27","Details",""
"4","The Brandery","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"5","Y Combinator","Mattermark","2,000,000","seed","2014-06-29","Details",""
"6","Y Combinator","Captain 401","3,500,000","seed","2016-02-24","Details",""
"7","Y Combinator","Mattermark","6,500,000","venture","2014-12-16","Details",""
"8","Y Combinator","CarWoo","300,000","seed","2010-01-01","Details","Dead"
"9","gener8tor","EatStreet","10,000,000","venture","2014-10-07","Details",""
"10","Y Combinator","Chart.io","1,290,000","seed","2010-06-01","Details",""
"11","Y Combinator","Notable Labs","","seed","2014-12-01","Details",""
"12","Y Combinator","GrubMarket","10,000,000","venture","2015-09-18","Details",""
"13","500startups","955dreams","7,200,000","venture","2013-10-23","Details",""
"14","Y Combinator","ReadMe","1,000,000","seed","2015-06-19","Details",""
"15","Y Combinator","PicnicHealth","2,000,000","seed","2015-04-02","Details",""
"16","The Alchemist Accelerator","zipongo","","seed","2012-10-01","Details",""
"17","gener8tor","MobileIgniter","243,000","convertible_note","2013-03-31","Details",""
"18","Y Combinator","Move Loot","9,000,000","venture","2015-02-10","Details",""
"19","Blueprint Health","Meddik","750,000","seed","2012-05-24","Details",""
"20","Y Combinator","Your Mechanic","","venture","2015-11-30","Details",""
"21","AngelPad","Kinnek","20,000,000","venture","2015-10-15","Details",""
"22","500startups","PayByGroup","","seed","2014-02-04","Details",""
"23","Techstars","Hullabalu","2,500,000","seed","2015-11-09","Details",""
"24","Y Combinator","FlightCar","13,500,000","venture","2014-09-10","Details","Exited"
"25","Techstars","Plated","5,000,000","venture","2014-01-06","Details",""
"26","Y Combinator","The Muse","1,200,000","seed","2012-08-25","Details",""
