"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Custora","6,500,000","venture","2015-04-07","Details",""
"2","Wayra","Trustev","3,207,168","convertible_note","2014-11-01","Details","Exited"
"3","The Alchemist Accelerator","Metadata","2,000,000","seed","2016-05-20","Details",""
"4","Techstars","StatMuse","10,000,000","venture","2015-01-27","Details",""
"5","Boost VC","Verse","8,300,000","venture","2016-10-24","Details",""
"6","Boost VC","Verse","20,500,000","venture","2017-05-16","Details",""
"7","Techstars","MakersKit","1,503,000","seed","2014-07-01","Details",""
"8","Techstars","Plated","35,000,000","venture","2015-07-16","Details",""
"9","Amplify.LA","sensay","1,500,000","seed","2015-01-05","Details",""
"10","Amplify.LA","hellotech","2,000,000","seed","2015-05-26","Details",""
"11","500startups","Metadata","2,000,000","seed","2016-05-20","Details",""
"12","Techstars","Plated","15,000,000","venture","2014-08-09","Details",""
"13","Techstars","MakersKit","1,503,000","seed","2014-07-01","Details",""
"14","Wayra","Trustev","3,000,000","seed","2013-10-30","Details","Exited"
"15","Amplify.LA","AlphaDraft","5,000,000","seed","2015-05-19","Details","Exited"
"16","Startupbootcamp","BalconyTV","750,000","venture","2012-07-27","Details","Exited"
"17","Amplify.LA","sensay","4,500,000","seed","2016-08-02","Details",""
