"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Highline","Wantering","540,000","seed","2012-09-01","Details","Exited"
"2","Highline","Kera","50,000","seed","2012-08-01","Details","Dead"
"3","Highline","Placeling","","seed","2011-08-15","Details","Dead"
"4","Amplify.LA","Battlefy","200,000","angel","2012-11-01","Details",""
"5","Highline","Picatic","","seed","2012-09-01","Details",""
"6","Highline","Ecquire","25,000","seed","2011-08-15","Details",""
"7","500startups","FameBit","","seed","2013-09-01","Details","Exited"
"8","Highline","SunnyTrail","","seed","2011-08-15","Details","Exited"
"9","Highline","ShopLocket","","seed","2012-03-01","Details","Exited"
"10","Highline","Wantering","","seed","2012-05-22","Details","Exited"
"11","Highline","Picatic","750,000","seed","2013-06-07","Details",""
"12","Techstars","PrintToPeer","25,000","seed","2014-03-10","Details",""
"13","Highline","Skyscrpr","","seed","2012-05-22","Details",""
"14","Highline","Food.ee","","seed","2012-05-22","Details",""
"15","Highline","Granify","1,500,000","seed","2013-11-06","Details",""
"16","Highline","MyShoebox","1,200,000","seed","2014-04-30","Details",""
"17","Highline","Sciencescape","","seed","2013-03-01","Details",""
"18","Highline","BlueBat","600,000","seed","2013-07-16","Details","Exited"
"19","Highline","BRIKA","","seed","2013-03-01","Details",""
