"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Priceonomics","1,500,000","seed","2012-05-04","Details",""
"2","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
"3","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"4","Y Combinator","SlidePay","1,300,000","seed","2012-06-25","Details","Dead"
"5","Y Combinator","Tagstand","1,100,000","seed","2011-10-14","Details",""
"6","Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
"7","Y Combinator","Amicus","3,200,000","seed","2012-11-13","Details",""
"8","Y Combinator","Sift Science","1,600,000","seed","2011-09-01","Details",""
"9","Y Combinator","Tilt","2,100,000","seed","2012-05-17","Details","Exited"
"10","Y Combinator","SocialCam","","angel","2012-04-30","Details","Exited"
