"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","HAXLR8R","Yeelink","25,000","venture","2013-01-17","Details",""
"2","HAXLR8R","Helios","","seed","2015-02-27","Details",""
"3","Y Combinator","OpenTrons","25,000","seed","2014-07-14","Details",""
"4","HAXLR8R","Molecule Synth","70,000","venture","2013-01-31","Details",""
"5","HAXLR8R","Avidbots","25,000","seed","2014-05-12","Details",""
"6","HAXLR8R","Quitbit","50,000","seed","2014-01-23","Details",""
"7","HAXLR8R","Kindara","","seed","2016-11-03","Details",""
"8","HAXLR8R","Niwa","50,000","seed","2014-01-08","Details",""
"9","HAXLR8R","Notch","25,000","seed","2013-01-01","Details",""
"10","Techstars","Carbon Robotics","","seed","2014-07-14","Details",""
"11","HAXLR8R","Helios","","venture","2015-09-25","Details",""
"12","RockHealth","BrainBot","","seed","2015-06-29","Details",""
"13","HAXLR8R","Kindara","25,000","venture","2012-02-21","Details",""
"14","Y Combinator","PetCube","70,000","seed","2013-07-12","Details",""
"15","Techstars","Hoard","25,000","seed","2014-05-12","Details",""
"16","HAXLR8R","Syrmo","25,000","seed","2014-05-12","Details",""
"17","HAXLR8R","Rational Robotics","25,000","seed","2014-05-12","Details",""
"18","HAXLR8R","Darma","25,000","seed","2014-05-12","Details",""
"19","HAXLR8R","Vigo","25,000","seed","2013-07-16","Details",""
"20","Techstars","Rational Robotics","25,000","seed","2014-05-12","Details",""
"21","HAXLR8R","Kindara","350,000","convertible_note","2012-10-01","Details",""
"22","HAXLR8R","Makeblock","25,000","venture","2012-02-21","Details",""
"23","HAXLR8R","Curio","25,000","seed","2013-08-01","Details",""
"24","HAXLR8R","LightUp","25,000","seed","2013-05-12","Details",""
"25","HAXLR8R","Helios","25,000","seed","2013-05-12","Details",""
"26","HAXLR8R","Shot Stats","25,000","seed","2014-05-12","Details",""
"27","HAXLR8R","Dustcloud","25,000","seed","2013-01-01","Details",""
