"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","The Alchemist Accelerator","FeeX","6,500,000","venture","2014-08-21","Details",""
"2","Upwest Labs","Invi","750,000","seed","2012-11-14","Details",""
"3","The Brandery","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"4","SynBio axlr8r","MuuFri","2,000,000","seed","2014-09-30","Details",""
"5","Axel Springer Plug and Play","Jobspotting","","seed","2015-04-30","Details","Exited"
"6","Axel Springer Plug and Play","Jobspotting","25,000","seed","2013-10-01","Details","Exited"
"7","Upwest Labs","Invi","2,250,000","seed","2013-06-25","Details",""
"8","Y Combinator","AirBnb","1,500,000,000","venture","2015-06-28","Details",""
"9","Upwest Labs","Preen.me","800,000","seed","2012-10-09","Details",""
"10","Y Combinator","Meta Space Glasses","23,000,000","venture","2015-01-28","Details",""
"11","Y Combinator","Meta Space Glasses","50,000,000","venture","2016-06-13","Details",""
"12","Techstars","Osper","10,000,000","venture","2014-06-29","Details",""
"13","Seedcamp","Traity","4,700,000","venture","2014-07-03","Details",""
"14","Imagine K12","Kaizena","900,000","seed","2015-07-15","Details",""
"15","500startups","Traity","4,700,000","venture","2014-07-03","Details",""
"16","The Brandery","Bitcasa","11,000,000","venture","2013-11-11","Details","Dead"
