"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","ignite100","SpecifiedBy","22,500","seed","2013-10-25","Details",""
"2","ignite100","OrderHarmony","22,500","seed","2012-09-25","Details",""
"3","Y Combinator","Moltin","27,500","seed","2013-10-21","Details",""
"4","ignite100","KonnectAgain","27,500","seed","2013-12-03","Details",""
"5","ignite100","Fantoo","27,500","seed","2012-10-01","Details",""
"6","ignite100","Verticly","22,500","seed","2013-10-22","Details",""
"7","Techstars","KonnectAgain","27,500","seed","2013-12-03","Details",""
"8","Imagine K12","MathChat","27,500","seed","2012-09-25","Details",""
"9","ignite100","Odimax","21,250","seed","2011-10-11","Details",""
"10","ignite100","Usable","21,250","seed","2011-10-11","Details","Dead"
"11","ignite100","Websand","27,500","seed","2013-10-21","Details",""
"12","ignite100","Papertrail","22,500","seed","2013-10-21","Details",""
"13","ignite100","Givey","16,250","seed","2011-10-11","Details",""
"14","Startupbootcamp","RentMama","21,250","seed","2011-10-11","Details",""
"15","ignite100","RentMama","21,250","seed","2011-10-11","Details",""
"16","ignite100","Reframed.tv","27,500","seed","2013-10-24","Details",""
"17","ignite100","Bizpora","27,500","seed","2013-10-21","Details","Exited"
"18","ignite100","Moltin","27,500","seed","2013-10-21","Details",""
