"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Imagine K12","Goalbook","","seed","2011-09-23","Details",""
"2","Imagine K12","Cellabus","","seed","2014-01-14","Details",""
"3","Y Combinator","Panorama Education","","seed","2014-01-14","Details",""
"4","Imagine K12","Classroom IQ","","seed","2014-01-14","Details",""
"5","Imagine K12","BrainNook","","seed","2011-09-23","Details",""
"6","Imagine K12","TeachBoost","","seed","2012-01-07","Details",""
"7","Imagine K12","Front Row","1,300,000","seed","2014-01-14","Details",""
"8","Imagine K12","Panorama","","seed","2014-01-14","Details",""
"9","Code for America Accelerator","LearnSprout","500,000","seed","2013-04-23","Details","Exited"
"10","Imagine K12","ClassDojo","5,000,000","seed","2011-09-23","Details",""
"11","Imagine K12","Accredible","","seed","2013-05-06","Details",""
"12","Imagine K12","CodeHS","","seed","2012-10-29","Details",""
"13","Imagine K12","NoRedInk","","seed","2012-10-31","Details",""
"14","Imagine K12","Peekapak","150,000","seed","2014-07-28","Details",""
"15","Imagine K12","Hapara","3,000,000","venture","2013-02-01","Details",""
"16","Imagine K12","SchoolMint","2,200,000","seed","2014-09-19","Details",""
"17","Y Combinator","Padlet","","seed","2013-05-06","Details",""
"18","Imagine K12","Socrative","750,000","seed","2013-08-01","Details","Exited"
"19","Imagine K12","Kaizena","","seed","2013-05-06","Details",""
"20","Imagine K12","Eduvant","","seed","2011-09-23","Details",""
"21","Imagine K12","Padlet","","seed","2013-05-06","Details",""
"22","Imagine K12","Kaymbu","","seed","2014-01-14","Details",""
"23","Imagine K12","AdmitSee","250,000","convertible_note","2014-08-25","Details",""
"24","Imagine K12","SchoolMint","","seed","2014-01-14","Details",""
"25","Imagine K12","Learnsprout","500,000","seed","2013-04-23","Details","Exited"
"26","Imagine K12","Edusight","100,000","angel","2014-08-10","Details","Exited"
"27","Imagine K12","EdPuzzle","","seed","2014-01-14","Details",""
"28","Imagine K12","Educents","2,930,000","seed","2015-04-05","Details",""
"29","Imagine K12","Remind101","1,000,000","seed","2012-01-01","Details",""
"30","Imagine K12","BloomBoard","","seed","2011-05-01","Details",""
"31","Imagine K12","Edoome","100,000","seed","2013-09-02","Details",""
"32","Imagine K12","Allcancode","100,000","seed","2016-01-10","Details",""
"33","Imagine K12","Edcanvas","","seed","2012-10-29","Details","Exited"
"34","Imagine K12","Showbie","2,300,000","seed","2015-04-07","Details",""
"35","Imagine K12","Gigabryte","","seed","2013-05-06","Details",""
"36","Imagine K12","Showbie","","seed","2013-05-06","Details",""
"37","Imagine K12","Educreations","","seed","2011-09-23","Details",""
"38","Imagine K12","AdmitSee","250,000","convertible_note","2014-08-25","Details",""
