"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Seedcamp","EDITD","4,400,000","venture","2014-02-11","Details",""
"2","Techstars","Osper","10,000,000","venture","2014-06-29","Details",""
"3","Seedcamp","EDITD","1,600,000","seed","2011-06-07","Details",""
"4","NYC SeedStart","DataDog","31,000,000","venture","2015-01-28","Details",""
"5","NYC SeedStart","DataDog","94,500,000","venture","2016-01-12","Details",""
"6","Seedcamp","Transferwise","1,300,000","seed","2012-04-17","Details",""
"7","Seedcamp","Transferwise","58,000,000","venture","2015-01-25","Details",""
"8","AngelPad","TrulyWireless","1,400,000","seed","2014-12-17","Details",""
"9","Y Combinator","WayUp","18,500,000","venture","2017-03-23","Details",""
"10","Y Combinator","Songkick","19,200,000","venture","2015-06-04","Details","Exited"
"11","AngelPad","Iterable","23,000,000","venture","2016-11-12","Details",""
"12","Y Combinator","Lever","20,000,000","venture","2016-01-26","Details",""
"13","Seedcamp","Erply","2,000,000","venture","2010-03-22","Details",""
"14","Seedcamp","checkthis","910,000","seed","2012-06-12","Details",""
"15","Y Combinator","YC W15 Stealth - #108","7,820,000","venture","2015-04-30","Details",""
"16","Y Combinator","Codecademy","30,000,000","venture","2016-07-12","Details",""
"17","Y Combinator","Nova Credit","3,300,000","seed","2016-09-21","Details",""
"18","Y Combinator","Experiment","1,230,000","undisclosed","2013-06-01","Details",""
"19","Y Combinator","Algolia","1,200,000","seed","2013-10-01","Details",""
"20","Y Combinator","People.ai","7,000,000","venture","2017-05-30","Details",""
"21","Y Combinator","Collectly","1,900,000","seed","2017-03-21","Details",""
"22","Y Combinator","Science Exchange","4,000,000","venture","2013-05-10","Details",""
"23","Y Combinator","Interana","20,000,000","venture","2015-01-21","Details",""
"24","Y Combinator","Codecademy","10,000,000","venture","2012-06-18","Details",""
"25","Y Combinator","Interana","18,000,000","venture","2016-11-01","Details",""
"26","Y Combinator","WayUp","7,800,000","venture","2015-04-30","Details",""
"27","Y Combinator","Lever","10,000,000","venture","2014-10-02","Details",""
"28","Y Combinator","Science Exchange","25,000,000","venture","2016-03-23","Details",""
"29","Y Combinator","Songkick","3,500,000","venture","2008-12-17","Details","Exited"
"30","Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
"31","NYC SeedStart","DataDog","6,200,000","venture","2012-11-21","Details",""
"32","Seedcamp","Erply","2,150,000","venture","2013-05-24","Details",""
"33","Y Combinator","Optimizely","58,000,000","venture","2015-10-13","Details",""
"34","Y Combinator","Move Loot","9,000,000","venture","2015-02-10","Details",""
"35","Seedcamp","Transferwise","6,000,000","venture","2013-05-13","Details",""
"36","Seedcamp","Transferwise","25,000,000","venture","2014-06-09","Details",""
"37","500startups","Intercom","50,000,000","venture","2016-04-07","Details",""
"38","Seedcamp","Futurelytics","800,000","seed","2013-11-11","Details",""
"39","NYC SeedStart","DataDog","15,000,000","venture","2014-02-04","Details",""
"40","Y Combinator","Move Loot","2,800,000","seed","2014-06-09","Details",""
"41","Y Combinator","Snaptalent","","seed","2008-01-01","Details","Dead"
