"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Blue Startups","Aptly","32,000,000","a","2008-09-30","",""
"2","AngelPad","LocBox","5,041,000","venture","2012-06-01","Details",""
"3","Y Combinator","HireArt","1,400,000","seed","2012-01-01","Details",""
"4","Y Combinator","CarWoo","6,000,000","venture","2011-12-01","Details","Dead"
"5","Y Combinator","NowJS","1,400,000","seed","2012-01-05","Details",""
"6","Y Combinator","Optimizely","2,000,000","seed","2012-02-06","Details",""
"7","AngelPad","Crittercism","30,000,000","venture","2014-05-04","Details","Exited"
"8","Techstars","AdsNative","8,500,000","venture","2015-09-24","Details",""
"9","AngelPad","Ribbon","120,000","angel","2011-09-01","Details",""
"10","Y Combinator","Optimizely","28,000,000","venture","2013-04-16","Details",""
"11","Y Combinator","Bridge","1,400,000","seed","2012-01-05","Details",""
"12","Y Combinator","CarWoo","4,500,000","venture","2010-10-13","Details","Dead"
"13","Techstars","AdsNative","2,000,000","seed","2014-04-03","Details",""
