"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Cambly","","seed","2014-01-01","Details",""
"2","Y Combinator","Regalii","4,000,000","seed","2016-01-01","Details",""
"3","Y Combinator","Beek","125,000","seed","2016-04-25","Details",""
"4","Y Combinator","Rappi","120,000","seed","2015-01-11","Details",""
"5","Boost VC","BitPagos","2,000,000","seed","2013-10-10","Details",""
"6","Y Combinator","FutureLeague","1,200,000","seed","2014-06-01","Details",""
"7","Y Combinator","Unima","1,300,000","seed","2016-03-24","Details",""
"8","Y Combinator","Unbabel","1,500,000","seed","2015-05-02","Details",""
"9","Y Combinator","Cambly","7,000,000","seed","2017-01-22","Details",""
"10","Y Combinator","Bulletin","","seed","2017-02-22","Details",""
"11","Y Combinator","HigherMe","120,000","seed","2015-12-26","Details",""
"12","Y Combinator","Riley","3,100,000","seed","2017-04-03","Details",""
"13","Y Combinator","Redspread","120,000","seed","2015-01-11","Details","Exited"
"14","Y Combinator","STILT","120,000","seed","2016-03-30","Details",""
