"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","LAUNCH incubator","Red Tricycle","1,500,000","venture","2012-12-09","Details",""
"2","Y Combinator","Interviewed","2,000,000","seed","2015-09-29","Details",""
"3","Y Combinator","Rapportive","1,000,000","seed","2010-08-02","Details","Exited"
"4","LAUNCH incubator","Huckle","850,000","seed","2015-05-01","Details",""
"5","i/o ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"6","Y Combinator","Gigster","10,000,000","venture","2015-12-07","Details",""
"7","i/o ventures","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"8","SeedSumo","TheCarforce","","venture","2016-10-03","Details",""
"9","i/o ventures","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"10","LAUNCH incubator","Bento","1,500,000","seed","2015-06-25","Details",""
