"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","EveryMe","1,500,000","debt_round","2011-10-01","",""
"2","Y Combinator","Second Measure","2,000,000","seed","2016-04-05","Details",""
"3","Y Combinator","Checkr","9,000,000","venture","2014-10-14","Details",""
"4","Y Combinator","Verbling","2,700,000","venture","2014-12-12","Details",""
"5","Y Combinator","RideCell","","seed","2012-04-01","Details",""
"6","Y Combinator","Heyzap","650,000","seed","2009-05-27","Details","Exited"
"7","Y Combinator","Lob","","venture","2016-05-12","Details",""
"8","Y Combinator","Bump","3,400,000","venture","2009-10-24","Details","Exited"
"9","Y Combinator","CarWoo","300,000","seed","2010-01-01","Details","Dead"
"10","Y Combinator","Science Exchange","4,000,000","venture","2013-05-10","Details",""
"11","Y Combinator","Lanyrd","1,400,000","seed","2011-09-06","Details","Exited"
"12","Y Combinator","DailyBooth","1,000,000","angel","2009-10-19","Details","Exited"
"13","Y Combinator","Priceonomics","1,500,000","seed","2012-05-04","Details",""
"14","AngelPad","Pogoseat","2,300,000","seed","2014-07-01","Details",""
