"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","SocialCam","","angel","2012-04-30","Details","Exited"
"2","Y Combinator","CloudMedX","6,600,000","seed","2015-05-01","Details",""
"3","Y Combinator","JustRide","3,000,000","venture","2016-11-07","Details",""
"4","Y Combinator","ZeroCater","1,500,000","venture","2011-08-10","Details",""
"5","Y Combinator","Cruise","4,300,000","seed","2014-01-01","Details","Exited"
"6","Y Combinator","Booktrope","950,000","angel","2013-12-01","Details",""
"7","Y Combinator","Bellabeat","4,500,000","seed","2014-05-23","Details",""
"8","Y Combinator","Beep","2,400,000","seed","2014-12-01","Details",""
"9","Y Combinator","Le Tote","3,700,000","seed","2013-08-29","Details",""
"10","Y Combinator","OneSignal","2,000,000","seed","2015-04-20","Details",""
"11","Y Combinator","DoseDr","","seed","2016-03-23","Details",""
"12","Y Combinator","Parenthoods","1,320,000","seed","2014-11-06","Details",""
"13","Y Combinator","Ambition","","seed","2014-02-01","Details",""
"14","Y Combinator","Meadow","2,100,000","seed","2016-04-05","Details",""
"15","Y Combinator","Taplytics","2,400,000","seed","2015-05-20","Details",""
"16","Y Combinator","The Ticket Fairy","485,000","seed","2015-05-20","Details",""
