"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Startmate","Flirtey","50,000","seed","2015-01-01","Details",""
"2","Y Combinator","Confident Cannibas","3,000,000","seed","2015-08-27","Details",""
"3","Y Combinator","Simbi","1,200,000","seed","2016-08-16","Details",""
"4","Y Combinator","Luka","120,000","seed","2014-12-01","Details",""
"5","Y Combinator","Joy","120,000","seed","2016-08-23","Details",""
"6","Y Combinator","Flirtey","50,000","seed","2015-01-01","Details",""
"7","Y Combinator","Luka","4,420,000","venture","2016-04-08","Details",""
"8","Y Combinator","RideCell","","seed","2012-04-01","Details",""
"9","Y Combinator","Wheelys Cafe","2,500,000","seed","2016-04-10","Details",""
"10","Y Combinator","Gigster","1,800,000","convertible_note","2013-10-12","Details",""
"11","Y Combinator","SpoonRocket","2,500,000","seed","2013-09-21","Details","Exited"
"12","Y Combinator","Your Mechanic","1,800,000","seed","2012-09-11","Details",""
