"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","DreamIT Ventures","SeatGeek","550,000","angel","2010-01-08","Details",""
"2","Techstars","ChatID","2,000,000","seed","2012-01-01","Details",""
"3","Techstars","Adstruc","1,100,000","seed","2010-09-28","Details",""
"4","Y Combinator","YC W15 Stealth - #108","968,000","seed","2014-09-18","Details",""
"5","Y Combinator","Science Exchange","25,000,000","venture","2016-03-23","Details",""
"6","Y Combinator","BlockStack Labs","4,000,000","seed","2017-01-05","Details",""
"7","Y Combinator","BlockStack Labs","1,330,000","seed","2014-11-16","Details",""
"8","Y Combinator","WayUp","968,000","seed","2014-09-18","Details",""
"9","Techstars","Dispatch","965,000","seed","2011-11-10","Details",""
"10","Techstars","ClassPass","12,000,000","venture","2014-09-17","Details",""
"11","Techstars","Karma","1,200,000","seed","2012-08-15","Details",""
