"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Whipsmart","15,000,000","venture","2015-10-06","Details",""
"2","New York Digital Health Accelerator","noom","2,800,000,000","seed","2011-06-01","Details",""
"3","Imagine K12","Remind101","15,000,000","venture","2014-02-04","Details",""
"4","Y Combinator","Gusto","20,000,000","venture","2014-02-19","Details",""
"5","Y Combinator","DoorDash","127,000,000","venture","2016-03-22","Details",""
"6","Y Combinator","Airware","30,000,000","venture","2016-03-31","Details",""
"7","RockHealth","Mango Health","5,250,000","venture","2014-05-21","Details",""
"8","Y Combinator","CoreOS","12,000,000","venture","2015-04-06","Details",""
"9","Techstars","Synack","7,500,000","venture","2014-04-24","Details",""
"10","Y Combinator","Airware","25,000,000","venture","2014-07-23","Details",""
"11","Techstars","Synack","21,250,000","venture","2017-04-11","Details",""
"12","Y Combinator","AirBnb","1,500,000,000","venture","2015-06-28","Details",""
"13","LaunchpadLA","Tradesy","13,000,000","venture","2014-05-19","Details",""
"14","RockHealth","Kit Check","100,000","seed","2012-10-01","Details",""
"15","Y Combinator","Instacart","220,000,000","venture","2015-01-13","Details",""
"16","Flashpoint","Ionic Security","9,400,000","venture","2013-04-19","Details",""
"17","AngelPad","Crittercism","1,200,000","seed","2011-07-14","Details","Exited"
"18","Y Combinator","Segment.io","15,000,000","venture","2014-10-08","Details",""
"19","Techstars","LeanPlum","29,000,000","venture","2016-10-18","Details",""
"20","Techstars","Synack","1,500,000","seed","2013-08-01","Details",""
"21","Y Combinator","Bulletin","2,200,000","seed","2017-05-24","Details",""
"22","Techstars","Synack","25,000,000","venture","2015-02-19","Details",""
"23","Y Combinator","Stripe","100,000,000","venture","2015-07-31","Details",""
"24","Techstars","LeanPlum","11,600,000","venture","2015-08-05","Details",""
"25","Boost VC","Align Commerce","12,500,000","venture","2015-11-17","Details",""
"26","Y Combinator","Segment.io","27,000,000","venture","2015-10-09","Details",""
"27","Boost VC","Align Commerce","24,000,000","venture","2017-03-08","Details",""
"28","Y Combinator","Gusto","60,000,000","venture","2015-04-06","Details",""
"29","Y Combinator","Codecademy","10,000,000","venture","2012-06-18","Details",""
"30","Y Combinator","Swiftype","1,700,000","seed","2013-08-15","Details",""
"31","Flashpoint","Ionic Security","45,000,000","venture","2016-06-01","Details",""
"32","LaunchpadLA","Tradesy","30,000,000","venture","2015-01-27","Details",""
"33","RockHealth","Wello","1,000,000","seed","2012-11-28","Details","Exited"
"34","Y Combinator","Riley","3,100,000","seed","2017-04-03","Details",""
"35","Flashpoint","Ionic Security","2,040,000","venture","2012-05-24","Details",""
"36","Y Combinator","CoreOS","30,000,000","venture","2016-05-09","Details",""
"37","Y Combinator","Instacart","400,000,000","venture","2017-03-07","Details",""
"38","Imagine K12","Remind101","40,000,000","venture","2014-09-30","Details",""
"39","Y Combinator","CoreOS","8,000,000","venture","2014-06-30","Details",""
"40","Flashpoint","Ionic Security","25,500,000","venture","2014-02-20","Details",""
"41","Y Combinator","DoorDash","40,000,000","venture","2015-03-26","Details",""
"42","Flashpoint","Ionic Security","40,100,000","venture","2015-01-12","Details",""
"43","LaunchpadLA","Tradesy","30,000,000","venture","2016-05-09","Details",""
