"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Kalibrr","","seed","2013-12-18","Details",""
"2","Y Combinator","Paragon One","2,000,000","seed","2017-05-25","Details",""
"3","Imagine K12","ClassDojo","1,600,000","seed","2012-01-31","Details",""
"4","Y Combinator","HireArt","1,400,000","seed","2012-01-01","Details",""
"5","Y Combinator","Experiment","1,230,000","undisclosed","2013-06-01","Details",""
"6","Y Combinator","Verbling","","seed","2013-11-20","Details",""
"7","Imagine K12","BloomBoard","7,200,000","venture","2015-06-30","Details",""
"8","Y Combinator","Experiment","1,230,000","undisclosed","2013-06-01","Details",""
"9","Y Combinator","Outschool","1,400,000","seed","2017-06-26","Details",""
"10","Imagine K12","CodeHS","1,750,000","seed","2015-01-23","Details",""
"11","Imagine K12","CodeHS","650,000","seed","2016-12-07","Details",""
"12","Y Combinator","Verbling","1,000,000","seed","2012-01-26","Details",""
"13","Imagine K12","Educents","2,930,000","seed","2015-04-05","Details",""
"14","500startups","eSparkLearning","5,700,000","venture","2012-09-03","Details",""
"15","Imagine K12","NoRedInk","2,000,000","seed","2013-08-21","Details",""
"16","500startups","OneSchool","750,000","seed","2012-01-25","Details","Dead"
