"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","ClearTax","","seed","2014-06-01","Details",""
"2","Techstars","SnowShoe","2,200,000","seed","2014-10-14","Details",""
"3","Techstars","Grove","1,791,413","venture","2015-09-04","Details",""
"4","Techstars","Revolar","202,000","debt_financing","2015-04-27","Details",""
"5","500startups","Partender","","seed","2014-05-01","Details",""
"6","Techstars","All4Staff","1,500,000","venture","2015-01-02","Details",""
"7","Y Combinator","Her","1,000,000","seed","2015-03-18","Details",""
"8","Techstars","SickWeather","350,000","seed","2014-09-12","Details",""
"9","Techstars","Codementor","","venture","2014-11-06","Details",""
"10","LAUNCH incubator","Bento","1,500,000","seed","2015-06-25","Details",""
"11","Y Combinator","WorkLife","900,000","seed","2014-09-02","Details","Exited"
"12","Imagine K12","CodeHS","1,750,000","seed","2015-01-23","Details",""
"13","500startups","Contactually","2,000,000","seed","2014-11-04","Details",""
"14","Startmate","Happy Inspector","2,781,000","venture","2015-02-19","Details",""
"15","Techstars","Hammerhead","50,000","venture","2014-10-28","Details",""
"16","Y Combinator","Bikanta","1,700,000","seed","2014-08-18","Details",""
"17","Techstars","ExpenseBot","175,000","seed","2014-09-09","Details",""
"18","Y Combinator","Mattermark","6,500,000","venture","2014-12-16","Details",""
"19","Y Combinator","Your Mechanic","","venture","2015-02-18","Details",""
"20","Y Combinator","Sliced Investing","2,000,000","seed","2014-11-17","Details",""
"21","LAUNCH incubator","Red Tricycle","","venture","2015-02-27","Details",""
"22","Techstars","Astro","","venture","2014-09-24","Details",""
"23","Techstars","CoolChip Technologies","3,300,000","venture","2015-03-16","Details",""
"24","Techstars","EdTrips","1,900,000","venture","2015-02-25","Details",""
"25","Y Combinator","BlockStack Labs","1,330,000","seed","2014-11-16","Details",""
"26","Y Combinator","CoinTent","1,075,000","seed","2015-04-20","Details",""
"27","Betaspring","Splitwise","1,400,000","seed","2014-12-16","Details",""
"28","Amplify.LA","Clutter","2,000,000","seed","2015-05-18","Details",""
"29","Imagine K12","CodeHS","650,000","seed","2016-12-07","Details",""
"30","Y Combinator","Vatler","120,000","seed","2014-07-16","Details",""
"31","Nxtp.labs","FormaFina","","seed","2014-06-27","Details",""
"32","innovyz start","Beneath The Ink","","venture","2014-09-11","Details",""
"33","HAXLR8R","Kindara","5,300,000","seed","2015-08-19","Details",""
"34","Y Combinator","Tenjin","120,000","seed","2014-06-01","Details",""
"35","AngelPad","ValetAnywhere","","convertible_note","2014-06-30","Details","Dead"
"36","Upwest Labs","Peer5","","venture","2014-10-23","Details",""
"37","Y Combinator","True Link Financial","3,400,000","seed","2015-01-21","Details",""
"38","Techstars","Lassy Project","750,120","venture","2015-01-02","Details",""
"39","AccelFoods","Exo","1,200,000","seed","2014-09-23","Details",""
"40","Boost VC","BitPagos","1,200,000","seed","2015-05-26","Details",""
"41","Y Combinator","Indinero","7,000,000","venture","2015-02-18","Details",""
"42","Techstars","Fortified Bicycle","800,000","venture","2014-07-19","Details",""
"43","Y Combinator","Peer5","","venture","2014-10-23","Details",""
"44","Y Combinator","Naytev","1,300,000","seed","2014-10-20","Details",""
"45","Techstars","Mapkin","1,200,000","angel","2014-07-31","Details","Exited"
"46","Techstars","SnowShoe","2,200,000","seed","2014-10-14","Details",""
