"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","UpCounsel","10,000,000","venture","2015-07-28","Details",""
"2","The Alchemist Accelerator","MightyHive","1,250,000","seed","2014-08-01","Details",""
"3","Y Combinator","Flirtey","","venture","2015-09-07","Details",""
"4","Y Combinator","SendHub","2,000,000","seed","2012-04-26","Details","Exited"
"5","The Alchemist Accelerator","MightyHive","600,000","seed","2013-10-01","Details",""
"6","Startmate","Flirtey","","venture","2015-09-07","Details",""
"7","Y Combinator","Heap Analytics","11,000,000","venture","2016-08-17","Details",""
"8","Y Combinator","Heap Analytics","27,000,000","venture","2017-05-04","Details",""
"9","Techstars","PillPack","50,000,000","venture","2015-06-03","Details",""
"10","Startmate","Flirtey","16,000,000","venture","2017-01-18","Details",""
"11","Y Combinator","Five Stars","26,000,000","venture","2014-09-25","Details",""
"12","500startups","RealtyShares","20,000,000","venture","2016-02-24","Details",""
"13","Y Combinator","Machine Zone","8,000,000","venture","2012-03-27","Details",""
"14","Y Combinator","Comprehend Systems","1,200,000","seed","2011-11-08","Details",""
"15","Techstars","PillPack","55,000,000","venture","2016-09-06","Details",""
"16","500startups","RealtyShares","10,000,000","venture","2015-04-07","Details",""
"17","Y Combinator","Flirtey","16,000,000","venture","2017-01-18","Details",""
"18","Mucker Lab","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"19","Y Combinator","Virool","6,620,000","seed","2013-02-14","Details",""
"20","Mucker Lab","The Black Tux","25,000,000","venture","2015-09-09","Details",""
"21","Y Combinator","Virool","12,000,000","venture","2016-04-05","Details",""
"22","Mucker Lab","The Black Tux","10,000,000","venture","2015-01-21","Details",""
"23","Techstars","Outreach","1,000,000","seed","2013-02-13","Details",""
"24","Y Combinator","Zillabyte","1,500,000","seed","2013-06-05","Details",""
"25","Y Combinator","SendHub","3,000,000","venture","2013-09-04","Details","Exited"
