"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Mixpanel","1,250,000","seed","2011-05-27","Details",""
"2","Y Combinator","JustSpotted","750,000","seed","2009-10-29","Details","Exited"
"3","Media Camp","Meograph","875,000","seed","2016-08-31","Details",""
"4","Upwest Labs","HoneyBook","10,000,000","venture","2014-09-22","Details",""
"5","Y Combinator","Couple","4,200,000","seed","2012-05-02","Details","Exited"
"6","Y Combinator","GroupAhead","875,000","seed","2015-03-23","Details",""
"7","Seedcamp","checkthis","3,000,000","seed","2013-10-29","Details",""
"8","Y Combinator","Mixpanel","500,000","angel","2010-02-11","Details",""
"9","Y Combinator","Her","1,000,000","seed","2015-03-18","Details",""
"10","Y Combinator","Close.io","500,000","venture","2011-02-10","Details","Dead"
