"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Embarke","250,000","debt_financing","2015-04-28","Details","Exited"
"2","Techstars","Freak'n Genius","375,000","seed","2014-01-23","Details",""
"3","Flashpoint","Physihome","","venture","2014-08-11","Details",""
"4","Techstars","BuildersCloud","1,100,000","venture","2013-08-08","Details",""
"5","Techstars","Jintronix","","venture","2014-09-01","Details",""
"6","Microsoft Ventures Accelerator Tel Aviv","RotaryView","","venture","2015-03-09","Details","Exited"
"7","Techstars","Outreach","30,000,000","venture","2017-05-23","Details",""
"8","500startups","gazeMetrix","","venture","2015-02-16","Details","Exited"
"9","Y Combinator","Rescale","14,000,000","venture","2016-05-18","Details",""
"10","Techstars","Nconnex","","venture","2013-03-01","Details",""
"11","Techstars","Outreach","17,500,000","venture","2016-06-22","Details",""
"12","Techstars","Synack","21,250,000","venture","2017-04-11","Details",""
"13","Startupbootcamp","Pixtr","","venture","2015-03-15","Details",""
"14","Techstars","Mobilligy","","venture","2013-04-08","Details","Exited"
"15","500startups","UXcam","","venture","2014-02-03","Details",""
"16","Techstars","Staq","","venture","2012-10-01","Details","Exited"
"17","Techstars","Manctl","","venture","2013-07-07","Details","Exited"
"18","Flashpoint","BISmark","350,000","seed","2013-09-26","Details",""
"19","Techstars","Ranku","650,000","seed","2013-11-10","Details","Exited"
"20","Techstars","Appetas","20,000","seed","2012-09-07","Details","Exited"
"21","Flashpoint","Telesofia","","venture","2014-07-22","Details",""
"22","Microsoft Ventures Accelerator Tel Aviv","Evolvero","","venture","2014-01-22","Details",""
"23","Techstars","GestSure","","venture","2012-03-01","Details",""
"24","Techstars","Voxon","","venture","2015-02-16","Details",""
"25","Microsoft Ventures Accelerator Tel Aviv","Evento","","venture","2012-09-01","Details",""
