"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","SixThirty","Pfitr","150,000","convertible_note","2015-01-30","Details",""
"2","The Yield Lab","Arvegenix","2,500,000","venture","2015-05-11","Details",""
"3","The Yield Lab","Arvegenix","2,400,000","venture","2017-03-22","Details",""
"4","Capital Innovators","Rovertown","400,000","seed","2014-06-01","Details",""
"5","The Alchemist Accelerator","Tallyfy","600,000","seed","2017-03-08","Details",""
"6","Capital Innovators","Rovertown","875,000","venture","2015-03-11","Details",""
"7","500startups","Tallyfy","600,000","seed","2017-03-08","Details",""
"8","Techstars","SickWeather","525,000","seed","2017-05-12","Details",""
"9","Capital Innovators","MedSocket","300,000","seed","2015-09-30","Details",""
"10","Capital Innovators","PFITR","150,000","convertible_note","2015-01-30","Details",""
"11","Capital Innovators","MedSocket","500,000","seed","2015-11-06","Details",""
"12","Capital Innovators","CellARide","175,000","seed","2016-06-01","Details",""
