"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","The Alchemist Accelerator","Xockets","750,000","seed","2014-04-01","Details",""
"2","Techstars","OnSwipe","5,000,000","venture","2011-06-02","Details","Exited"
"3","Techstars","OnSwipe","1,000,000","seed","2011-01-13","Details","Exited"
"4","The Alchemist Accelerator","Xockets","1,950,000","seed","2015-10-25","Details",""
"5","Y Combinator","Sourcery","","seed","2013-04-10","Details",""
"6","Y Combinator","Gobble","2,873,000","venture","2015-07-01","Details",""
"7","Imagine K12","ClassDojo","1,600,000","seed","2012-01-31","Details",""
"8","Y Combinator","Sourcery","3,452,000","seed","2015-07-09","Details",""
"9","Y Combinator","Gobble","","seed","2010-12-03","Details",""
"10","Imagine K12","ClassDojo","5,000,000","seed","2011-09-23","Details",""
"11","Y Combinator","Luminist","150,000","seed","2016-01-28","Details",""
"12","Y Combinator","Watchsend","650,000","seed","2013-06-01","Details",""
"13","The Alchemist Accelerator","Sourcery","3,452,000","seed","2015-07-09","Details",""
"14","RockHealth","Wello","1,000,000","seed","2012-11-28","Details","Exited"
"15","The Alchemist Accelerator","Rigetti Quantum Computing","40,000,000","venture","2017-03-28","Details",""
"16","Y Combinator","Boostable","2,600,000","seed","2014-10-22","Details",""
"17","RockHealth","Sano Intelligence","4,000,000","venture","2016-03-07","Details",""
"18","Techstars","Zipline","25,000,000","venture","2016-08-10","Details",""
"19","Techstars","Zipline","","venture","2015-06-15","Details",""
"20","Imagine K12","ClassDojo","8,500,000","venture","2013-04-02","Details",""
"21","The Alchemist Accelerator","Xockets","750,000","seed","2014-04-01","Details",""
"22","Techstars","Zipline","4,000,000","seed","2016-11-09","Details",""
"23","Imagine K12","ClassDojo","20,000,000","venture","2015-01-30","Details",""
"24","RockHealth","Sano Intelligence","15,250,000","seed","2015-06-19","Details",""
"25","RockHealth","Sano Intelligence","8,771,288","seed","2016-06-10","Details",""
"26","Y Combinator","Science Exchange","1,500,000","seed","2011-12-02","Details",""
"27","Y Combinator","Luminist","","venture","2016-03-03","Details",""
"28","Techstars","Zipline","4,000,000","seed","2014-07-01","Details",""
"29","Y Combinator","Rainforest QA","4,000,000","seed","2015-02-10","Details",""
"30","The Alchemist Accelerator","Xockets","1,950,000","seed","2015-10-25","Details",""
"31","Y Combinator","Rigetti Computing","40,000,000","venture","2017-03-28","Details",""
"32","The Alchemist Accelerator","Sourcery","","seed","2013-04-10","Details",""
