"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Mucker Lab","Penango","","seed","2012-04-26","Details",""
"2","Mucker Lab","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"3","Mucker Lab","Panjo","4,600,000","venture","2015-11-12","Details",""
"4","Mucker Lab","ServiceTitan","","seed","2014-01-23","Details",""
"5","Y Combinator","Upkeep Maintenance Management","2,700,000","seed","2017-06-30","Details",""
"6","Mucker Lab","Laffster","750,000","seed","2012-10-24","Details",""
"7","Portland Incubator Experiment (PIE)","Vadio","2,000,000","seed","2014-08-14","Details",""
"8","Mucker Lab","Younity","3,540,000","seed","2013-08-12","Details",""
"9","Amplify.LA","Vadio","8,000,000","venture","2015-05-12","Details",""
"10","Mucker Lab","BloomNation","1,650,000","seed","2013-10-24","Details",""
"11","Amplify.LA","Vadio","2,000,000","seed","2014-08-14","Details",""
"12","Techstars","Cogo.tv","1,200,000","seed","2015-01-01","Details",""
"13","Mucker Lab","RocksBox","","seed","2013-01-16","Details",""
"14","Mucker Lab","Walla.by","1,100,000","seed","2012-08-30","Details","Exited"
"15","Mucker Lab","GetMeRated","","seed","2013-01-16","Details",""
"16","Y Combinator","Streamup","1,000,000","seed","2015-05-01","Details",""
"17","Mucker Lab","BloomNation","5,550,000","venture","2014-10-07","Details",""
"18","Mucker Lab","Spout","","seed","2014-01-23","Details",""
"19","Mucker Lab","LeaseLock","","seed","2014-01-23","Details",""
"20","Mucker Lab","Retention Science","2,500,000","seed","2013-08-29","Details",""
"21","Portland Incubator Experiment (PIE)","Vadio","8,000,000","venture","2015-05-12","Details",""
"22","Mucker Lab","Instacanv.as","1,700,000","seed","2012-06-29","Details",""
"23","Mucker Lab","Instacanv.as","","undisclosed","2011-12-31","Details",""
"24","Mucker Lab","Lifecrowd","","seed","2012-04-26","Details",""
"25","Mucker Lab","MarkedUp","","seed","2013-01-16","Details","Dead"
"26","Mucker Lab","Panjo","","seed","2013-01-16","Details",""
"27","Mucker Lab","Verifico","","seed","2014-01-23","Details",""
"28","Mucker Lab","OttoLikes Labs","","seed","2012-04-26","Details","Dead"
"29","Mucker Lab","Surf Air","","seed","2012-04-26","Details",""
"30","Mucker Lab","Emailage","5,674,970","venture","2016-04-13","Details",""
"31","Mucker Lab","Surf Air","8,000,000","venture","2014-08-07","Details",""
"32","Mucker Lab","Shopparity","","seed","2014-01-23","Details",""
