"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","FounderFuel","ooomf","2,100,000","undisclosed","2014-04-10","Details",""
"2","500startups","GoRefi","1,540,000","seed","2014-09-09","Details",""
"3","Y Combinator","500Friends","1,400,000","seed","2009-12-15","Details","Exited"
"4","Y Combinator","Heyzap","650,000","seed","2009-05-27","Details","Exited"
"5","Imagine K12","Remind101","1,000,000","seed","2012-01-01","Details",""
"6","500startups","visual.ly","2,000,000","seed","2011-10-20","Details","Exited"
"7","Upwest Labs","HoneyBook","10,000,000","venture","2014-09-22","Details",""
"8","Excelerate Labs","GiveForward","2,000,000","venture","2012-07-25","Details","Exited"
"9","Y Combinator","Listia","1,750,000","seed","2011-04-19","Details",""
"10","AngelPad","Kinnek","10,000,000","venture","2014-09-15","Details",""
"11","AngelPad","Kinnek","20,000,000","venture","2015-10-15","Details",""
"12","Y Combinator","Opzi","1,000,000","angel","2010-09-01","Details","Dead"
"13","Y Combinator","Tagstand","1,100,000","seed","2011-10-14","Details",""
"14","Y Combinator","BlockStack Labs","4,000,000","seed","2017-01-05","Details",""
"15","Y Combinator","BlockStack Labs","1,330,000","seed","2014-11-16","Details",""
"16","Y Combinator","AirHelp","12,000,000","venture","2016-08-03","Details",""
"17","Y Combinator","ClearTax","1,300,000","seed","2016-04-26","Details",""
"18","Y Combinator","Optimizely","1,200,000","angel","2010-03-17","Details",""
"19","500startups","Farmeron","1,609,000","seed","2012-05-10","Details","Exited"
"20","Y Combinator","Protocol Labs","3,000,000","venture","2016-03-24","Details",""
"21","Seedcamp","FarmerOn","1,609,000","seed","2012-05-10","Details","Exited"
"22","AngelPad","Postmates","750,000","angel","2011-05-01","Details",""
"23","Y Combinator","ProductHunt","880,000","seed","2014-08-21","Details","Exited"
"24","Y Combinator","Tilt","12,000,000","venture","2013-03-22","Details","Exited"
"25","Y Combinator","Tilt","23,000,000","venture","2013-12-16","Details","Exited"
"26","Y Combinator","AirHelp","4,700,000","seed","2014-03-14","Details",""
"27","Y Combinator","AeroFS","","seed","2010-08-20","Details",""
"28","Y Combinator","Heyzap","3,000,000","venture","2010-06-23","Details","Exited"
"29","Y Combinator","CardPool","","seed","2010-01-01","Details","Exited"
