"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Grockit","7,000,000","venture","2011-10-17","Details","Exited"
"2","Imagine K12","Educreations","2,200,000","venture","2012-08-14","Details",""
"3","Techstars","ClassWallet","1,900,000","seed","2015-07-13","Details",""
"4","Imagine K12","Goalbook","950,000","seed","2012-10-19","Details",""
"5","Imagine K12","CodeHS","1,750,000","seed","2015-01-23","Details",""
"6","Imagine K12","ClassDojo","1,600,000","seed","2012-01-31","Details",""
"7","Imagine K12","Kaizena","900,000","seed","2015-07-15","Details",""
"8","Imagine K12","SchoolMint","2,200,000","seed","2014-09-19","Details",""
"9","Imagine K12","CodeHS","650,000","seed","2016-12-07","Details",""
"10","500startups","eSparkLearning","5,700,000","venture","2012-09-03","Details",""
"11","Techstars","ClassWallet","635,000","angel","2014-05-15","Details",""
"12","Techstars","Whipsmart","5,956,174","venture","2014-09-24","Details",""
"13","Imagine K12","Socrative","750,000","seed","2013-08-01","Details","Exited"
"14","Techstars","Tuva Labs","430,000","seed","2014-07-24","Details",""
"15","Techstars","Whipsmart","1,200,000","seed","2013-10-09","Details",""
