"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","ignite100","CrowdIPR","135,000","seed","2012-03-23","Details",""
"2","ignite100","SpecifiedBy","90,000","seed","2014-03-20","Details",""
"3","ignite100","Bizpora","27,500","seed","2013-10-21","Details","Exited"
"4","ignite100","OrderHarmony","22,500","seed","2012-09-25","Details",""
"5","ignite100","Reframed.tv","90,000","seed","2014-02-14","Details",""
"6","ignite100","Websand","27,500","seed","2013-10-21","Details",""
"7","ignite100","Reframed.tv","128,474","seed","2014-12-16","Details",""
"8","ignite100","Websand","35,000","seed","2015-05-27","Details",""
"9","Techstars","KonnectAgain","85,000","seed","2014-06-02","Details",""
"10","ignite100","Moltin","95,000","seed","2014-03-27","Details",""
"11","ignite100","Websand","160,000","seed","2014-03-03","Details",""
"12","Difference Engine","Tagorize","100,000","seed","2010-12-22","Details","Dead"
"13","ignite100","Papertrail","130,000","seed","2014-02-14","Details",""
"14","ignite100","Givey","90,000","seed","2012-02-08","Details",""
"15","ignite100","Verticly","1,100,000","venture","2016-03-30","Details",""
"16","ignite100","Givey","572,500","seed","2012-12-24","Details",""
"17","ignite100","Artspotter","19,750","seed","2011-10-11","Details",""
"18","ignite100","Blooie","90,000","seed","2012-02-01","Details",""
"19","Y Combinator","Moltin","27,500","seed","2013-10-21","Details",""
"20","Springboard","Publification","100,000","seed","2011-12-23","Details",""
"21","ignite100","Blooie","16,250","seed","2011-10-11","Details",""
"22","ignite100","Usable","90,000","seed","2012-02-06","Details","Dead"
"23","ignite100","Verticly","22,500","seed","2013-10-22","Details",""
"24","ignite100","Papertrail","59,957","seed","2016-05-06","Details",""
"25","ignite100","Papertrail","339,886","seed","2014-12-19","Details",""
"26","ignite100","Verticly","255,009","seed","2015-10-19","Details",""
"27","ignite100","Usable","21,250","seed","2011-10-11","Details","Dead"
"28","ignite100","Givey","300,085","seed","2014-07-15","Details",""
"29","Startup Wise Guys","Leaf","453,500","seed","2015-08-17","Details",""
"30","ignite100","Odimax","21,250","seed","2011-10-11","Details",""
"31","Imagine K12","MathChat","27,500","seed","2012-09-25","Details",""
"32","Imagine K12","MathChat","85,000","seed","2014-02-20","Details",""
"33","Difference Engine","Recite","40,000","seed","2012-05-23","Details",""
"34","ignite100","KonnectAgain","27,500","seed","2013-12-03","Details",""
"35","Difference Engine","Recite","100,000","undisclosed","2011-01-24","Details",""
"36","ignite100","Odimax","135,000","seed","2012-02-01","Details",""
"37","ignite100","Blooie","200,000","seed","2014-09-15","Details",""
"38","Difference Engine","CANDDI","100,000","seed","2011-03-03","Details",""
"39","ignite100","RentMama","21,250","seed","2011-10-11","Details",""
"40","ignite100","Blooie","112,500","seed","2013-03-21","Details",""
"41","Startupbootcamp","RentMama","21,250","seed","2011-10-11","Details",""
"42","Difference Engine","CANDDI","49,000","seed","2011-12-13","Details",""
"43","Difference Engine","Recite","100,000","seed","2010-10-12","Details",""
"44","Imagine K12","MathChat","263,737","seed","2014-12-19","Details",""
"45","Difference Engine","Recite","225,000","undisclosed","2013-01-03","Details",""
"46","Difference Engine","Recite","200,000","seed","2016-06-09","Details",""
"47","Imagine K12","MathChat","280,000","seed","2014-02-05","Details",""
"48","Techstars","Mindmate","45,000","angel","2015-09-25","Details",""
"49","ignite100","Artspotter","90,000","seed","2012-02-06","Details",""
"50","Difference Engine","CANDDI","370,000","seed","2012-09-07","Details",""
"51","ignite100","Givey","16,250","seed","2011-10-11","Details",""
"52","ignite100","SpecifiedBy","125,000","seed","2014-04-02","Details",""
"53","ignite100","OrderHarmony","90,000","seed","2013-02-20","Details",""
"54","ignite100","Moltin","27,500","seed","2013-10-21","Details",""
"55","ignite100","Papertrail","22,500","seed","2013-10-21","Details",""
"56","ignite100","Websand","160,000","seed","2014-01-01","Details",""
"57","ignite100","Fantoo","27,500","seed","2012-10-01","Details",""
"58","Y Combinator","Moltin","95,000","seed","2014-03-27","Details",""
"59","ignite100","CrowdIPR","200,000","seed","2013-04-01","Details",""
"60","Techstars","KonnectAgain","27,500","seed","2013-12-03","Details",""
"61","ignite100","Reframed.tv","27,500","seed","2013-10-24","Details",""
"62","ignite100","SpecifiedBy","347,897","seed","2015-10-20","Details",""
"63","ignite100","Blooie","110,000","seed","2013-12-04","Details",""
"64","ignite100","KonnectAgain","85,000","seed","2014-06-02","Details",""
"65","Techstars","Take Comics","1,200,000","venture","2010-01-04","Details","Exited"
"66","ignite100","SpecifiedBy","22,500","seed","2013-10-25","Details",""
