"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","analyticsMD","13,000,000","venture","2016-11-16","Details",""
"2","Y Combinator","SketchDeck","1,700,000","seed","2015-12-14","Details",""
"3","Techstars","Good.co","1,450,000","seed","2013-11-12","Details",""
"4","RockHealth","Omada Health","48,000,000","venture","2015-09-16","Details",""
"5","Techstars","SmackHigh","1,800,000","convertible_note","2017-03-20","Details",""
"6","Techstars","Good.co","750,000","seed","2014-05-01","Details",""
"7","Upwest Labs","HoneyBook","14,000,000","venture","2016-06-08","Details",""
"8","Upwest Labs","HoneyBook","22,000,000","venture","2015-03-05","Details",""
"9","Y Combinator","Science Exchange","28,000,000","venture","2017-06-29","Details",""
"10","Amplify.LA","sensay","4,500,000","seed","2016-08-02","Details",""
