"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","AirBnb","112,000,000","venture","2011-07-25","Details",""
"2","Y Combinator","HomeJoy","38,000,000","venture","2013-12-05","Details","Dead"
"3","Y Combinator","Reebee","","seed","2013-09-01","Details",""
"4","Boost VC","Airenvy","","convertible_note","2014-03-17","Details",""
"5","Y Combinator","One Month Rails","770,000","seed","2014-06-24","Details",""
"6","Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"7","Y Combinator","Tilt","23,000,000","venture","2013-12-16","Details","Exited"
"8","The Brandery","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"9","Y Combinator","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"10","Y Combinator","SpoonRocket","2,500,000","seed","2013-09-21","Details","Exited"
"11","Y Combinator","HomeJoy","24,490,945","venture","2013-10-01","Details","Dead"
"12","Y Combinator","Parenthoods","1,320,000","seed","2014-11-06","Details",""
