"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Spoon University","2,000,000","seed","2015-07-14","Details","Exited"
"2","Techstars","Jukely","300,000","angel","2013-07-10","Details",""
"3","Y Combinator","500Friends","","undisclosed","2011-04-25","Details","Exited"
"4","DreamIT Ventures","SeatGeek","550,000","angel","2010-01-08","Details",""
"5","DreamIT Ventures","SeatGeek","550,000","venture","2010-10-13","Details",""
"6","Techstars","AdYapper","1,200,000","seed","2013-09-05","Details",""
"7","Techstars","Slash","1,300,000","seed","2015-12-09","Details",""
"8","Techstars","Impact Health","1,650,000","seed","2016-10-23","Details",""
"9","AngelPad","CoverHound","8,181,488","venture","2013-02-08","Details",""
"10","500startups","Tout","350,000","seed","2011-05-15","Details","Exited"
"11","Highline","Skyscrpr","500,000","seed","2012-12-03","Details",""
"12","Techstars","Moveline","1,500,000","seed","2012-10-31","Details",""
"13","DreamIT Ventures","SeatGeek","","undisclosed","2011-02-26","Details",""
"14","Techstars","Pilot","775,000","convertible_note","2015-01-28","Details",""
"15","Techstars","Jukely","2,400,000","seed","2014-10-01","Details",""
"16","Y Combinator","Padlet","1,200,000","seed","2015-09-18","Details",""
"17","Y Combinator","URX","3,100,000","seed","2013-09-01","Details","Exited"
"18","Imagine K12","Padlet","1,200,000","seed","2015-09-18","Details",""
