"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Contactually","1,000,000","seed","2013-03-06","Details",""
"2","500startups","Spinnakr","1,000,000","seed","2013-06-10","Details",""
"3","Techstars","GoSpotCheck","3,149,513","venture","2015-08-04","Details",""
"4","Startmate","Happy Inspector","7,500,000","venture","2016-10-06","Details",""
"5","Y Combinator","Algolia","1,200,000","seed","2013-10-01","Details",""
"6","Y Combinator","Algolia","18,300,000","venture","2015-05-20","Details",""
"7","Y Combinator","PersistIQ","1,700,000","seed","2015-07-30","Details",""
"8","Techstars","Chainalysis","1,600,000","seed","2016-02-19","Details",""
"9","Imagine K12","Showbie","2,300,000","seed","2015-04-07","Details",""
"10","Y Combinator","Algolia","53,000,000","venture","2017-06-07","Details",""
"11","Techstars","Hull","2,600,000","seed","2017-01-26","Details",""
"12","Techstars","GoSpotCheck","16,500,000","venture","2016-09-07","Details",""
"13","500startups","Contactually","10,828,807","venture","2015-11-16","Details",""
"14","Techstars","Eversport","1,000,000","seed","2015-10-29","Details",""
"15","Y Combinator","Front","3,100,000","seed","2014-10-01","Details",""
