"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","SimplyInsured","5,900,000","venture","2015-06-30","Details",""
"2","Le Camping","docTrackr","2,000,000","seed","2012-10-02","Details","Exited"
"3","Amplify.LA","FloQast","25,000,000","venture","2017-06-21","Details",""
"4","Techstars","Localytics","5,500,000","venture","2012-09-10","Details",""
"5","Startupbootcamp","BalconyTV","750,000","venture","2012-07-27","Details","Exited"
"6","Amplify.LA","Bitium","6,500,000","venture","2014-03-01","Details",""
"7","Y Combinator","Lob","2,400,000","seed","2013-11-04","Details",""
"8","Techstars","Localytics","16,000,000","venture","2014-02-04","Details",""
"9","Y Combinator","Lob","","venture","2016-05-12","Details",""
"10","Techstars","Localytics","35,000,000","venture","2015-03-24","Details",""
"11","Amplify.LA","FloQast","6,500,000","venture","2016-03-16","Details",""
"12","Techstars","Doctrackr","2,000,000","seed","2012-10-02","Details","Exited"
"13","Seedcamp","Profitero","8,000,000","venture","2014-06-04","Details",""
"14","Y Combinator","Lob","20,000,000","venture","2017-05-31","Details",""
"15","Amplify.LA","Bitium","6,000,000","venture","2016-08-30","Details",""
"16","Y Combinator","Lob","7,000,000","venture","2014-09-08","Details",""
