"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","gener8tor","Understory","7,498,498","venture","2016-02-02","Details",""
"2","Mucker Lab","The Black Tux","2,600,000","seed","2014-02-25","Details",""
"3","Entrepreneurs Roundtable Accelerator","numberFire","750,000","seed","2012-01-05","Details","Exited"
"4","Techstars","piictu","1,000,000","seed","2012-05-01","Details","Exited"
"5","Techstars","WantWorthy","1,000,000","seed","2012-08-09","Details","Dead"
"6","Y Combinator","Amicus","3,200,000","seed","2012-11-13","Details",""
"7","Y Combinator","Airware","3,000,000","seed","2013-03-31","Details",""
"8","Y Combinator","Flynn","1,285,000","seed","2014-09-01","Details",""
"9","Boost VC","Mirror","8,800,000","venture","2015-06-03","Details",""
"10","Amplify.LA","Gem","1,500,000","angel","2014-02-11","Details",""
"11","Techstars","GreatHorn","2,250,000","seed","2016-03-21","Details",""
"12","Techstars","SideTour","2,500,000","venture","2013-03-25","Details","Exited"
"13","Y Combinator","Xobni","16,200,000","venture","2010-04-15","Details","Exited"
"14","New York Digital Health Accelerator","noom","16,149,899","venture","2015-04-01","Details",""
"15","gener8tor","Understory","1,900,000","seed","2014-04-30","Details",""
"16","Techstars","piictu","730,000","seed","2011-09-22","Details","Exited"
"17","New York Digital Health Accelerator","noom","7,000,000","venture","2014-02-04","Details",""
"18","Techstars","Pilot","3,300,000","seed","2015-05-01","Details",""
"19","AngelPad","CoverHound","33,299,999","venture","2015-09-22","Details",""
"20","Techstars","GreatHorn","6,300,000","venture","2017-06-21","Details",""
"21","Y Combinator","WayUp","968,000","seed","2014-09-18","Details",""
"22","Y Combinator","Amicus","580,000","seed","2012-02-01","Details",""
"23","Amplify.LA","Gem","7,600,000","venture","2016-01-06","Details",""
"24","Y Combinator","Imgix","5,000,000","venture","2013-05-01","Details",""
"25","Techstars","Latch","10,000,000","venture","2017-05-10","Details",""
"26","New York Digital Health Accelerator","noom","15,000,000","venture","2015-01-10","Details",""
"27","AngelPad","CoverHound","8,181,488","venture","2013-02-08","Details",""
"28","Amplify.LA","Gem","1,300,000","seed","2015-04-02","Details",""
"29","Techstars","Pilot","12,000,000","venture","2016-11-01","Details",""
"30","Amplify.LA","Gem","2,000,000","seed","2014-09-17","Details",""
"31","Y Combinator","Boom","33,000,000","venture","2017-03-22","Details",""
"32","NYC SeedStart","DataDog","15,000,000","venture","2014-02-04","Details",""
"33","Y Combinator","YC W15 Stealth - #108","968,000","seed","2014-09-18","Details",""
"34","Techstars","SideTour","1,500,000","seed","2011-10-17","Details","Exited"
"35","Techstars","Adstruc","1,100,000","seed","2010-09-28","Details",""
"36","NYC SeedStart","DataDog","1,200,000","seed","2011-04-29","Details",""
