"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","HAXLR8R","Quitbit","105,000","seed","2014-01-08","Details",""
"2","HAXLR8R","Yeelink","","seed","2013-08-31","Details",""
"3","HAXLR8R","Rational Robotics","","convertible_note","2015-01-13","Details",""
"4","Chinaccelerator","TuiCool","","seed","2014-01-28","Details",""
"5","Startupbootcamp","Skynet Labs","","seed","2012-01-01","Details",""
"6","HAXLR8R","Rational Robotics","","venture","2013-11-12","Details",""
"7","Techstars","Rational Robotics","","convertible_note","2015-01-13","Details",""
"8","Chinaccelerator","OrderWithMe","6,000,000","venture","2013-12-04","Details",""
"9","HAXLR8R","Helios","","venture","2015-09-25","Details",""
"10","Y Combinator","OpenTrons","","undisclosed","2014-09-02","Details",""
"11","The Alchemist Accelerator","SupplyBetter","","venture","2014-07-18","Details","Dead"
"12","500startups","Bombfell","","seed","2012-04-01","Details",""
"13","HAXLR8R","Makeblock","","venture","2015-09-20","Details",""
"14","HAXLR8R","Makeblock","","seed","2013-09-30","Details",""
"15","HAXLR8R","Kindara","5,300,000","seed","2015-08-19","Details",""
"16","HAXLR8R","Kindara","350,000","convertible_note","2012-10-01","Details",""
"17","HAXLR8R","Vigo","25,000","seed","2013-07-16","Details",""
"18","HAXLR8R","Kindara","1,250,000","venture","2014-11-04","Details",""
"19","HAXLR8R","Nomiku","","venture","2012-12-19","Details",""
"20","Techstars","BISON","","venture","2015-04-15","Details",""
"21","Chinaccelerator","Seeder","16,000","seed","2013-05-28","Details",""
"22","Startupbootcamp","Skynet Labs","324,000","seed","2013-12-01","Details",""
"23","HAXLR8R","Syrmo","","seed","2013-12-20","Details",""
"24","Startupbootcamp","MavenHut","562,000","venture","2012-11-07","Details",""
"25","HAXLR8R","LightUp","","venture","2013-02-01","Details",""
"26","SURGE","Skynet Labs","50,000","seed","2012-11-28","Details",""
"27","SURGE","Skynet Labs","80,000","seed","2013-05-01","Details",""
"28","Startupbootcamp","Skynet Labs","283,000","seed","2012-12-01","Details",""
"29","Chinaccelerator","Seeder","365,000","venture","2015-08-11","Details",""
"30","HAXLR8R","Dustcloud","30,000","seed","2014-03-07","Details",""
"31","HAXLR8R","Syrmo","","venture","2015-05-12","Details",""
"32","SynBio axlr8r","Hyasynth","520,000","seed","2015-06-29","Details",""
"33","HAXLR8R","Vibease","","seed","2014-08-01","Details",""
"34","HAXLR8R","Shot Stats","","venture","2015-06-11","Details",""
"35","HAXLR8R","Quitbit","50,000","seed","2014-01-23","Details",""
"36","Chinaccelerator","IQ Friends","","venture","2013-06-07","Details",""
"37","RockHealth","BrainBot","","seed","2015-06-29","Details",""
"38","HAXLR8R","Kindara","","seed","2016-11-03","Details",""
"39","Y Combinator","PetCube","70,000","seed","2013-07-12","Details",""
"40","500startups","Bombfell","730,000","seed","2013-02-13","Details",""
"41","Chinaccelerator","AYLIEN","580,000","venture","2016-03-06","Details",""
"42","HAXLR8R","Kindara","","convertible_note","2015-03-18","Details",""
"43","500startups","Bombfell","","seed","2013-08-23","Details",""
"44","HAXLR8R","Kindara","1,000,000","seed","2016-07-07","Details",""
"45","Y Combinator","PetCube","3,700,000","venture","2016-08-26","Details",""
"46","HAXLR8R","Kindara","25,000","venture","2012-02-21","Details",""
"47","HAXLR8R","Helios","","seed","2015-02-27","Details",""
"48","HAXLR8R","Niwa","50,000","seed","2014-01-08","Details",""
"49","500startups","Bombfell","7,500,000","venture","2015-01-23","Details",""
"50","Chinaccelerator","OrderWithMe","28,000,000","venture","2014-11-17","Details",""
"51","HAXLR8R","Shot Stats","50,000","seed","2013-12-01","Details",""
"52","HAXLR8R","Everpurse","1,000,000","seed","2014-05-18","Details",""
"53","HAXLR8R","Avidbots","25,000","seed","2014-05-12","Details",""
"54","Chinaccelerator","AYLIEN","","seed","2010-12-17","Details",""
"55","HAXLR8R","Shot Stats","50,000","seed","2014-02-10","Details",""
"56","Chinaccelerator","Launchpilots","","seed","2014-01-31","Details",""
"57","HAXLR8R","Helios","25,000","seed","2013-05-12","Details",""
"58","HAXLR8R","Quitbit","","venture","2015-04-15","Details",""
"59","HAXLR8R","Avidbots","","venture","2016-02-22","Details",""
"60","HAXLR8R","Dustcloud","52,000","seed","2013-06-22","Details",""
"61","HAXLR8R","Darma","25,000","seed","2014-05-12","Details",""
"62","HAXLR8R","Makeblock","25,000","venture","2012-02-21","Details",""
"63","Startmate","Koala Safe","","seed","2016-10-17","Details",""
"64","Techstars","Marginize","650,000","seed","2010-08-11","Details",""
"65","SynBio axlr8r","MuuFri","60,000","venture","2014-05-02","Details",""
"66","Chinaccelerator","AYLIEN","500,000","seed","2011-04-01","Details",""
"67","HAXLR8R","Roadie Tuner","","seed","2013-07-01","Details",""
"68","Y Combinator","PetCube","1,120,000","seed","2015-03-17","Details",""
"69","HAXLR8R","Yeelink","","venture","2015-09-01","Details",""
"70","HAXLR8R","Molecule Synth","70,000","venture","2013-01-31","Details",""
"71","HAXLR8R","Curio","25,000","seed","2013-08-01","Details",""
"72","Techstars","Rational Robotics","","venture","2013-11-12","Details",""
"73","Chinaccelerator","Splitforce","150,000","seed","2014-06-09","Details","Exited"
"74","HAXLR8R","LightUp","","venture","2015-04-09","Details",""
"75","SynBio axlr8r","Hyasynth","60,000","seed","2014-05-20","Details",""
"76","Techstars","Marginize","","undisclosed","2012-11-14","Details",""
"77","Y Combinator","OpenTrons","","seed","2015-11-01","Details",""
"78","HAXLR8R","Yeelink","25,000","venture","2013-01-17","Details",""
