"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Veri","1,200,000","seed","2011-07-01","","Dead"
"2","Y Combinator","EveryMe","1,500,000","debt_round","2011-10-01","",""
"3","Y Combinator","Priceonomics","150,000","seed","2012-01-01","Details",""
"4","Y Combinator","BoostedBoards","","seed","2012-08-01","Details",""
"5","Y Combinator","Lockitron","","seed","2012-03-01","Details",""
"6","Seedcamp","checkthis","910,000","seed","2012-06-12","Details",""
"7","Y Combinator","Humble Bundle","4,480,000","venture","2011-04-21","Details",""
"8","Y Combinator","Experiment","1,230,000","undisclosed","2013-06-01","Details",""
"9","Y Combinator","GOAT","1,600,000","angel","2011-05-01","Details",""
"10","Y Combinator","Bloomthat","2,100,000","seed","2014-02-06","Details",""
"11","Y Combinator","JustSpotted","750,000","seed","2009-10-29","Details","Exited"
"12","Y Combinator","Citus Data","1,650,000","seed","2012-06-27","Details",""
"13","Y Combinator","Noteleaf","","seed","2011-01-01","Details",""
"14","Y Combinator","Tilt","12,000,000","venture","2013-03-22","Details","Exited"
"15","AngelPad","Kinnek","1,500,000","seed","2012-12-21","Details",""
"16","Y Combinator","FamilyLeaf","177,000","seed","2012-01-01","Details","Exited"
"17","Y Combinator","Hipmunk","1,000,000","seed","2010-10-05","Details","Exited"
"18","Y Combinator","NowJS","1,400,000","seed","2012-01-05","Details",""
"19","Y Combinator","Etacts","740,000","seed","2010-05-14","Details","Exited"
"20","Y Combinator","MinoMonsters","1,000,000","seed","2011-11-10","Details",""
"21","Y Combinator","Bridge","1,400,000","seed","2012-01-05","Details",""
"22","Y Combinator","Scoutzie","","seed","2012-08-10","Details",""
"23","Y Combinator","Zen99","2,500,000","seed","2014-11-06","Details",""
"24","Y Combinator","Nowmov","","angel","2010-05-01","Details","Dead"
"25","Techstars","ImpuseSave","","seed","2012-12-18","Details","Exited"
"26","Y Combinator","Medisas","","seed","2013-04-01","Details",""
"27","Y Combinator","Coinbase","6,109,590","venture","2013-05-07","Details",""
"28","Y Combinator","Comprehend Systems","1,200,000","seed","2011-11-08","Details",""
"29","Startupbootcamp","BabyWatch","4,500,000","venture","2014-06-01","Details",""
"30","Y Combinator","Weave Communications","5,000,000","venture","2014-06-11","Details",""
"31","Tumml","KidAdmit","","seed","2014-05-02","Details",""
"32","Y Combinator","WayUp","18,500,000","venture","2017-03-23","Details",""
"33","Y Combinator","Tutorspree","1,000,000","seed","2011-12-20","Details","Exited"
"34","Y Combinator","Vastrm","1,000,000","seed","2013-08-29","Details",""
