"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Msg.ai","2,700,000","seed","2015-11-01","Details",""
"2","Techstars","Kapost","10,250,000","venture","2015-05-12","Details",""
"3","Y Combinator","Vidyard","18,000,000","venture","2015-01-14","Details",""
"4","Y Combinator","Optimizely","58,000,000","venture","2015-10-13","Details",""
"5","Y Combinator","Ark","4,200,000","seed","2012-04-25","Details",""
"6","Y Combinator","Chute","2,700,000","seed","2012-07-24","Details",""
"7","Y Combinator","6sense","","venture","2015-07-01","Details",""
"8","The Alchemist Accelerator","Tylr Mobile","1,500,000","seed","2013-11-04","Details","Dead"
"9","Y Combinator","PersistIQ","1,700,000","seed","2015-07-30","Details",""
"10","Y Combinator","Embedly","320,000","debt_financing","2012-03-22","Details","Exited"
"11","Media Camp","Chute","2,700,000","seed","2012-07-24","Details",""
"12","Y Combinator","Heap Analytics","2,000,000","convertible_note","2013-08-27","Details",""
"13","Capital Innovators","JBara","20,000,000","venture","2013-11-06","Details","Dead"
"14","Media Camp","Chute","4,100,000","venture","2017-03-29","Details",""
"15","Y Combinator","Authy","2,300,000","seed","2014-09-08","Details","Exited"
"16","Y Combinator","Chute","4,100,000","venture","2017-03-29","Details",""
"17","500startups","TalkDesk","6,000,000","venture","2015-10-07","Details",""
"18","Y Combinator","MailGun","1,100,000","seed","2011-05-13","Details",""
"19","Y Combinator","OnboardIQ","9,100,000","venture","2017-07-06","Details",""
"20","Y Combinator","Dropbox","350,000,000","venture","2014-01-24","Details",""
"21","Startmate","Bugcrowd","17,000,000","venture","2016-04-20","Details",""
"22","The Alchemist Accelerator","BrightFunnel","6,000,000","venture","2015-12-02","Details",""
"23","Le Camping","Augment","3,000,000","venture","2016-03-02","Details",""
"24","Orange Fab","talkdesk","6,000,000","venture","2015-10-07","Details",""
"25","Y Combinator","Vidyard","35,000,000","venture","2016-01-26","Details",""
"26","Y Combinator","Sendoid","","seed","2011-03-01","Details","Exited"
"27","The Alchemist Accelerator","Selligy","2,800,000","venture","2013-11-13","Details","Exited"
