"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","SeedSumo","Gripe-O","250,000","seed","2015-05-05","Details",""
"2","SeedSumo","Polco","50,000","seed","2015-05-02","Details",""
"3","SeedSumo","reQwip","50,000","seed","2014-05-19","Details",""
"4","SeedSumo","TheCarforce","","venture","2016-10-03","Details",""
"5","SeedSumo","TargetVision","50,000","seed","2015-05-03","Details",""
"6","SeedSumo","Fanout","30,000","seed","2014-05-19","Details",""
"7","SeedSumo","TheCarforce","550,000","seed","2015-09-21","Details",""
"8","SeedSumo","AskU","20,000","seed","2014-05-19","Details",""
"9","SeedSumo","Prepify","20,000","seed","2014-05-19","Details",""
"10","SeedSumo","Kinskii","50,000","seed","2015-05-06","Details",""
"11","SeedSumo","PrepFlash","55,500","seed","2015-05-07","Details",""
"12","SeedSumo","Polco","655,000","seed","2015-10-01","Details",""
"13","SeedSumo","TheCarforce","100,000","seed","2015-05-20","Details",""
"14","SeedSumo","Sportwip","20,000","seed","2014-05-19","Details",""
