"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","BookingMarkets","362,500","angel","2013-06-12","Details",""
"2","Betaspring","Sproutel","278,000","angel","2012-11-24","Details",""
"3","Techstars","CoachUp","2,700,000","seed","2012-11-14","Details",""
"4","Techstars","Enertiv","550,000","angel","2012-10-01","Details",""
"5","Techstars","Rallyware","45,000","seed","2012-12-01","Details",""
"6","Techstars","EdTrips","1,900,000","venture","2015-02-25","Details",""
"7","Media Camp","Meograph","875,000","seed","2016-08-31","Details",""
"8","Media Camp","Meograph","345,000","angel","2013-06-01","Details",""
"9","Y Combinator","PetCube","70,000","seed","2013-07-12","Details",""
"10","Techstars","Cangrade","50,000","seed","2012-03-21","Details",""
"11","Techstars","CoolChip Technologies","3,300,000","venture","2015-03-16","Details",""
"12","Techstars","Preply","200,000","convertible_note","2012-08-31","Details",""
"13","Techstars","SmackHigh","1,650,000","seed","2015-08-19","Details",""
"14","Techstars","Codeship","300,000","convertible_note","2013-03-01","Details",""
