"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","gener8tor","Beekeeper Data","560,000","seed","2015-11-09","Details",""
"2","Capital Innovators","FoodEssentials","","convertible_note","2015-07-16","Details",""
"3","Capital Innovators","FoodEssentials","","venture","2015-10-01","Details",""
"4","Capital Innovators","Tunespeak","2,000,000","venture","2015-07-24","Details",""
"5","Techstars","Spatial Labs","2,100,000","seed","2016-09-08","Details",""
"6","Techstars","LISNR","","venture","2015-08-14","Details",""
"7","Capital Innovators","FoodEssentials","2,170,000","venture","2014-12-22","Details",""
"8","Techstars","LISNR","3,500,000","venture","2014-06-27","Details",""
"9","iVentures10","YottaClick","1,200,000","seed","2011-07-06","Details","Exited"
"10","gener8tor","Beekeeper Data","","venture","2015-01-14","Details",""
"11","Capital Innovators","FoodEssentials","","convertible_note","2015-08-28","Details",""
"12","iVentures10","YottaClick","335,000","venture","2012-07-24","Details","Exited"
