"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Mattermark","6,500,000","venture","2014-12-16","Details",""
"2","Y Combinator","Plate Joy","1,700,000","seed","2015-04-29","Details",""
"3","Y Combinator","Le Tote","3,700,000","seed","2013-08-29","Details",""
"4","Techstars","PillPack","50,000,000","venture","2015-06-03","Details",""
"5","Y Combinator","AirBnb","475,000,000","venture","2014-04-16","Details",""
"6","Boost VC","Airenvy","","convertible_note","2014-03-17","Details",""
"7","Techstars","PillPack","55,000,000","venture","2016-09-06","Details",""
"8","Techstars","Nuerala","14,000,000","venture","2017-01-17","Details",""
"9","Y Combinator","Truebill","1,550,000","seed","2016-06-27","Details",""
"10","Y Combinator","Coin","15,500,000","venture","2014-05-05","Details","Exited"
"11","Y Combinator","Payable","2,100,000","seed","2015-08-05","Details",""
"12","Y Combinator","OnboardIQ","3,300,000","seed","2015-05-18","Details",""
"13","Y Combinator","Luka","4,420,000","venture","2016-04-08","Details",""
"14","Y Combinator","Cambly","7,000,000","seed","2017-01-22","Details",""
"15","Y Combinator","Le Tote","8,800,000","venture","2015-02-05","Details",""
"16","Y Combinator","Cambly","","seed","2014-01-01","Details",""
