"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","RealCrowd","","seed","2013-10-28","Details",""
"2","500startups","AdEspresso","500,000","seed","2013-12-25","Details","Exited"
"3","Y Combinator","WeFunder","","convertible_note","2014-06-30","Details",""
"4","Y Combinator","Goldbely","3,000,000","seed","2013-09-17","Details",""
"5","500startups","BrewPublik","","seed","2015-10-26","Details",""
"6","500startups","Pick1","","seed","2013-06-01","Details",""
"7","Y Combinator","Mattermark","2,000,000","seed","2014-06-29","Details",""
"8","Y Combinator","Asseta","","seed","2013-10-01","Details",""
"9","500startups","AdEspresso","1,300,000","seed","2014-06-24","Details","Exited"
"10","The Alchemist Accelerator","HealthCrowd","500,000","seed","2013-05-01","Details",""
"11","500startups","Stitch","","seed","2014-10-03","Details",""
