"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","BuildZoom","1,395,000","seed","2013-06-25","Details",""
"2","Y Combinator","Checkr","40,000,000","venture","2016-03-23","Details",""
"3","Techstars","Shelby.tv","225,000","seed","2011-01-01","Details","Exited"
"4","Y Combinator","Keychain Logistics","2,520,000","seed","2013-01-01","Details",""
"5","Y Combinator","HomeJoy","24,490,945","venture","2013-10-01","Details","Dead"
"6","Techstars","Shelby.tv","1,500,000","seed","2011-07-14","Details","Exited"
"7","Techstars","Karma","2,235,000","seed","2013-12-01","Details",""
"8","Y Combinator","Amiato","2,000,000","seed","2013-03-15","Details","Exited"
"9","Y Combinator","Indinero","3,824,526","venture","2012-11-02","Details",""
"10","Y Combinator","Checkr","9,000,000","venture","2014-10-14","Details",""
"11","500startups","Thinknum","1,000,000","seed","2014-07-28","Details",""
"12","Y Combinator","Dropbox","1,200,000","seed","2007-09-04","Details",""
"13","Y Combinator","FundersClub","6,500,000","seed","2012-10-19","Details",""
"14","Y Combinator","Heap Analytics","2,000,000","convertible_note","2013-08-27","Details",""
"15","Y Combinator","Truebill","350,000","seed","2016-02-01","Details",""
"16","Media Camp","Plumzi","3,700,000","venture","2014-06-23","Details",""
"17","Y Combinator","HomeJoy","1,700,000","seed","2013-03-05","Details","Dead"
"18","AngelPad","Boomtrain","1,966,279","venture","2014-03-03","Details","Exited"
"19","Y Combinator","Wevorce","","convertible_note","2013-03-01","Details",""
"20","Y Combinator","1000Memories","2,520,000","venture","2011-02-16","Details","Exited"
"21","AngelPad","UpCounsel","1,500,000","seed","2013-10-02","Details",""
