"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Imagine K12","AdmitSee","250,000","convertible_note","2014-08-25","Details",""
"2","Code for America Accelerator","Captricity","10,000,000","venture","2014-07-15","Details",""
"3","Code for America Accelerator","Captricity","2,400,000","venture","2013-04-01","Details",""
"4","Techstars","HomeHero","3,000,000","seed","2014-09-01","Details","Dead"
"5","i/o ventures","Cozy (previously Avenue)","7,175,000","venture","2015-08-21","Details",""
"6","The Alchemist Accelerator","mPharma","5,000,000","venture","2016-01-28","Details",""
"7","Y Combinator","Penny","1,200,000","seed","2016-05-23","Details",""
"8","Y Combinator","BlueCrew","2,500,000","seed","2015-09-01","Details",""
"9","Techstars","SmackHigh","1,800,000","convertible_note","2017-03-20","Details",""
"10","Y Combinator","Front","10,000,000","venture","2016-05-26","Details",""
"11","Code for America Accelerator","Captricity","4,500,000","venture","2013-05-31","Details",""
"12","500startups","Intercom","23,000,000","venture","2014-01-22","Details",""
"13","Y Combinator","ZenProspect","2,200,000","seed","2016-05-01","Details",""
"14","Code for America Accelerator","Captricity","35,000,000","venture","2016-01-19","Details",""
"15","Y Combinator","OMG Digital","1,100,000","seed","2017-06-26","Details",""
"16","i/o ventures","Cozy (previously Avenue)","8,500,000","venture","2016-08-30","Details",""
"17","RockHealth","Sano Intelligence","15,250,000","seed","2015-06-19","Details",""
"18","Y Combinator","Iris Automations","1,500,000","venture","2017-01-18","Details",""
"19","i/o ventures","Cozy (previously Avenue)","5,000,000","venture","2013-10-15","Details",""
"20","500startups","Intercom","50,000,000","venture","2016-04-07","Details",""
"21","i/o ventures","Cozy (previously Avenue)","1,500,000","seed","2012-10-04","Details",""
"22","RockHealth","Neurotrack","6,500,000","venture","2016-01-27","Details",""
"23","Y Combinator","Truebill","1,550,000","seed","2016-06-27","Details",""
"24","Y Combinator","Wifi.com.ng","2,100,000","seed","2017-06-26","Details",""
"25","RockHealth","Neurotrack","2,000,000","venture","2013-09-26","Details",""
"26","LAUNCH incubator","Momunt","500,000","seed","2015-06-01","Details",""
"27","500startups","Intercom","6,000,000","venture","2013-06-01","Details",""
"28","500startups","Intercom","35,000,000","venture","2015-08-26","Details",""
"29","Code for America Accelerator","Captricity","","undisclosed","2011-10-01","Details",""
"30","Y Combinator","Cover","8,000,000","venture","2017-07-13","Details",""
"31","Y Combinator","Starcity","3,800,000","seed","2016-12-31","Details",""
"32","The Alchemist Accelerator","3Ten8","1,670,000","seed","2015-04-15","Details",""
"33","Imagine K12","AdmitSee","250,000","convertible_note","2014-08-25","Details",""
"34","Techstars","HomeHero","20,000,000","venture","2015-06-30","Details","Dead"
"35","LAUNCH incubator","Huckle","850,000","seed","2015-05-01","Details",""
