"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Padlet","40,000","seed","2012-04-10","Details",""
"2","Capital Innovators","Material Mix","40,000","seed","2013-08-22","Details","Dead"
"3","Nxtp.labs","Fanwards","40,000","seed","2012-03-07","Details","Dead"
"4","Nxtp.labs","Loogares","40,000","seed","2011-12-16","Details",""
"5","Techstars","GymPact","850,000","seed","2012-06-28","Details",""
"6","The Alchemist Accelerator","Tallyfy","40,000","grant","2014-04-01","Details",""
"7","The Ark","CayMay Education","40,000","seed","2012-12-04","Details",""
"8","Nxtp.labs","FormaFina","40,000","seed","2012-08-16","Details",""
"9","Techstars","Data Camp","40,000","seed","2013-12-13","Details",""
"10","Nxtp.labs","Ropit","500,000","venture","2013-01-01","Details",""
"11","SURGE","Bractlet","40,000","seed","2012-02-13","Details",""
"12","Techstars","Klooff","40,000","seed","2011-12-16","Details",""
"13","Nxtp.labs","FormaFina","1,400,000","seed","2013-09-23","Details",""
"14","500startups","Slidebean","35,000","grant","2013-11-18","Details",""
"15","Techstars","GymPact","118,000","seed","2012-01-24","Details",""
"16","DreamIT Ventures","Slidebean","35,000","grant","2013-11-18","Details",""
"17","Startup Wise Guys","Rockyourpaper","40,000","seed","2012-08-09","Details",""
"18","500startups","ZBoard","40,000","seed","2012-04-16","Details",""
"19","Boost VC","Gigawatt","40,000","seed","2014-06-01","Details",""
"20","The Ark","EpicPledge","40,000","seed","2012-02-09","Details",""
"21","Startup Wise Guys","Biletu","40,000","seed","2011-12-16","Details",""
"22","Tech Wildcatters","Credii","40,000","seed","2012-02-09","Details",""
"23","Imagine K12","Padlet","300,000","seed","2013-08-01","Details",""
"24","Startup Wise Guys","The Takes","40,000","seed","2013-12-16","Details",""
"25","500startups","Credii","40,000","seed","2012-02-09","Details",""
"26","500startups","Pick1","40,000","seed","2012-03-08","Details",""
"27","500startups","Floqq","350,000","seed","2012-11-29","Details",""
"28","Nxtp.labs","The Social Radio","40,000","seed","2012-02-10","Details",""
"29","Nxtp.labs","Sinimanes","40,000","seed","2012-08-09","Details","Exited"
"30","500startups","Floqq","60,000","seed","2012-12-04","Details",""
"31","ignite100","Bizpora","40,000","seed","2013-02-18","Details","Exited"
"32","500startups","CoContest","40,000","seed","2013-08-23","Details",""
"33","500startups","teliportme","400,000","seed","2012-10-13","Details",""
"34","Imagine K12","Padlet","40,000","seed","2012-04-10","Details",""
"35","Nxtp.labs","Fligoo","40,000","seed","2014-06-01","Details",""
"36","Techstars","Poshpacker","40,000","grant","2014-06-01","Details",""
"37","Nxtp.labs","Trendsetters","40,000","seed","2011-12-19","Details",""
"38","LightningLab","teamisto","40,000","seed","2013-08-22","Details",""
"39","DreamIT Ventures","Fiestah","40,000","seed","2014-06-01","Details",""
"40","Nxtp.labs","Comenta.Tv","40,000","seed","2011-11-25","Details","Exited"
"41","Techstars","Maptia","40,000","seed","2012-02-06","Details",""
"42","Techstars","Klooff","118,000","angel","2013-04-01","Details",""
"43","Techstars","Tutum","40,000","seed","2013-03-14","Details","Exited"
"44","SURGE","Revokom","40,000","seed","2011-07-25","Details",""
"45","Nxtp.labs","Mercado Transporte","40,000","seed","2011-11-28","Details",""
"46","Chinaccelerator","Seeder","40,000","seed","2013-12-20","Details",""
"47","Y Combinator","Padlet","300,000","seed","2013-08-01","Details",""
"48","Nxtp.labs","WeHostels","40,000","seed","2011-09-01","Details","Exited"
"49","Nxtp.labs","Ropit","40,000","seed","2013-02-14","Details",""
"50","Techstars","GymPact","40,000","seed","2011-07-25","Details",""
"51","500startups","Tallyfy","40,000","seed","2013-12-13","Details",""
"52","Nxtp.labs","Bungolow","40,000","seed","2011-04-25","Details","Dead"
"53","The Alchemist Accelerator","Tallyfy","40,000","seed","2013-12-13","Details",""
"54","gener8tor","ReviewTrackers","40,000","seed","2012-08-09","Details",""
"55","500startups","Tallyfy","40,000","grant","2014-04-01","Details",""
"56","JFDI.Asia","OurHealthMate","40,000","grant","2012-02-01","Details",""
"57","Rockstart Accelerator","Reciclata","40,000","seed","2013-12-12","Details",""
"58","DreamIT Ventures","Respi","40,000","seed","2014-06-01","Details",""
"59","500startups","Flyer","40,000","seed","2014-06-01","Details",""
"60","Startup Wise Guys","SportID","40,000","seed","2013-08-23","Details",""
"61","Imagine K12","Edoome","40,000","seed","2012-03-01","Details",""
"62","Startup Wise Guys","Brickflow","40,000","grant","2013-03-11","Details","Dead"
"63","Nxtp.labs","Kidbox","40,000","seed","2012-02-15","Details",""
"64","Rockstart Accelerator","Limk","40,000","grant","2012-02-01","Details",""
