"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","AngelPad","Pogoseat","2,300,000","seed","2014-07-01","Details",""
"2","Y Combinator","Dating Ring","","seed","2014-01-01","Details",""
"3","Techstars","HYP3R","6,000,000","seed","2016-03-01","Details",""
"4","Y Combinator","Fixed","650,000","seed","2015-02-03","Details","Exited"
"5","500startups","DOZ","1,500,000","seed","2014-09-15","Details",""
"6","500startups","GoRefi","1,540,000","seed","2014-09-09","Details",""
"7","Y Combinator","Suiteness","1,000,000","seed","2015-12-08","Details",""
"8","Mucker Lab","Surf Air","","seed","2012-04-26","Details",""
"9","Y Combinator","VayCayHero","2,800,000","seed","2014-12-09","Details",""
"10","Y Combinator","Kash","2,000,000","seed","2014-11-04","Details",""
"11","500startups","Neighbor.ly","5,500,000","seed","2015-09-15","Details",""
"12","500startups","Sourceasy","1,330,000","seed","2016-08-31","Details",""
"13","500startups","Vantage Sports","2,000,000","seed","2015-08-01","Details",""
"14","Techstars","Well Health","2,800,000","seed","2016-11-01","Details",""
"15","500startups","KangaDo","100,000","seed","2014-04-14","Details",""
"16","500startups","Stitch","100,000","seed","2014-01-30","Details",""
"17","500startups","Vessel","100,000","seed","2014-01-30","Details","Exited"
"18","Blue Startups","Vantage Sports","2,000,000","seed","2015-08-01","Details",""
