"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Hipmunk","15,000,000","venture","2012-06-12","Details","Exited"
"2","Techstars","Twigtale","1,085,000","seed","2015-04-21","Details",""
"3","Capital Innovators","Gremln","523,452","venture","2013-10-18","Details",""
"4","Mucker Lab","LeaseLock","","seed","2014-01-23","Details",""
"5","SixThirty","gremln","523,452","venture","2013-10-18","Details",""
"6","K5Launch","Nanoogo","","angel","2012-11-03","Details",""
"7","500startups","Kitterly","650,000","seed","2017-01-03","Details",""
"8","Amplify.LA","TheBouqs","1,100,000","seed","2013-06-25","Details",""
"9","Techstars","Fitspot","900,000","seed","2016-07-31","Details",""
"10","Y Combinator","Submittable","750,000","venture","2012-11-10","Details",""
"11","SixThirty","gremln","523,452","venture","2013-10-18","Details",""
"12","LaunchpadLA","JobSync","1,634,000","venture","2011-11-15","Details",""
"13","LaunchpadLA","Atlas","700,000","seed","2012-12-01","Details",""
"14","Techstars","Fitspot","","angel","2014-12-01","Details",""
"15","K5Launch","Vokle","767,000","seed","2011-04-19","Details",""
"16","Y Combinator","TrustEgg","1,000,000","seed","2013-12-20","Details","Dead"
"17","Orange Fab","phone halo","","venture","2011-07-01","Details",""
