"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","The Brandery","Off Track Planet","500,000","seed","2013-12-06","Details",""
"2","The Brandery","Dwllr","15,000","seed","2013-11-25","Details",""
"3","The Brandery","MusicPlay Analytics","20,000","seed","2014-07-18","Details",""
"4","The Brandery","Bitcasa","11,000,000","venture","2013-11-11","Details","Dead"
"5","The Brandery","Crowdhall","70,000","seed","2012-09-01","Details","Dead"
"6","The Brandery","RentShare","305,000","seed","2011-07-01","Details","Exited"
"7","The Brandery","Keepio","255,000","seed","2011-08-01","Details","Dead"
"8","The Brandery","HireWheel","20,000","seed","2014-07-18","Details",""
"9","The Brandery","Dwllr","20,000","venture","2013-06-25","Details",""
"10","The Brandery","ChoreMonster","25,000","seed","2011-08-01","Details",""
"11","The Brandery","VenturePax","50,000","seed","2011-08-01","Details",""
"12","The Brandery","TurboBOTZ","","seed","2010-01-01","Details","Dead"
"13","Y Combinator","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"14","The Brandery","VenueAgent","190,000","seed","2011-10-06","Details",""
"15","Y Combinator","FlightCar","20,000","debt_financing","2012-07-02","Details","Exited"
"16","Techstars","ChoreMonster","25,000","seed","2011-08-01","Details",""
"17","The Brandery","Strap","20,000","seed","2014-07-18","Details",""
"18","The Brandery","Pingage","800,000","seed","2013-05-20","Details",""
"19","The Brandery","Spaciety","40,000","seed","2011-07-01","Details","Dead"
"20","The Brandery","RoadTrippers","20,000","seed","2011-07-01","Details",""
"21","The Brandery","ChoreMonster","775,000","seed","2012-12-31","Details",""
"22","The Brandery","ChoreMonster","1,500,000","venture","2013-07-31","Details",""
"23","The Brandery","ChoreMonster","355,000","seed","2012-01-05","Details",""
"24","The Brandery","Receept","","seed","2011-07-01","Details","Dead"
"25","The Brandery","RoadTrippers","250,000","seed","2012-06-11","Details",""
"26","The Brandery","Pingage","250,000","seed","2012-10-01","Details",""
"27","The Brandery","VenturePax","","seed","2010-11-19","Details",""
"28","The Brandery","popAD","180,000","seed","2014-07-15","Details",""
"29","Techstars","ChoreMonster","775,000","seed","2012-12-31","Details",""
"30","The Brandery","Impulcity","600,000","angel","2012-02-22","Details",""
"31","The Brandery","Andtix","","seed","2012-10-03","Details",""
"32","The Brandery","Crowdhall","700,000","seed","2013-05-09","Details","Dead"
"33","The Brandery","Leap","25,000","seed","2011-08-31","Details","Dead"
"34","The Brandery","FlightCar","5,600,000","venture","2013-04-16","Details","Exited"
"35","The Brandery","Giftiki","20,000","seed","2010-08-31","Details","Exited"
"36","The Brandery","Off Track Planet","200,000","seed","2011-07-05","Details",""
"37","The Brandery","TurboBOTZ","250,000","venture","2011-03-04","Details","Dead"
"38","The Brandery","Bitcasa","","seed","2011-08-01","Details","Dead"
"39","The Brandery","Lagoon","20,000","seed","2014-07-18","Details","Dead"
"40","The Brandery","FlightCar","20,000","debt_financing","2012-07-02","Details","Exited"
"41","Y Combinator","FlightCar","5,600,000","venture","2013-04-16","Details","Exited"
"42","Techstars","ChoreMonster","355,000","seed","2012-01-05","Details",""
"43","The Brandery","Pingage","3,100,000","venture","2014-01-21","Details",""
"44","The Brandery","RoadTrippers","2,500,000","venture","2013-08-12","Details",""
"45","The Brandery","Cintric","40,000","seed","2014-07-14","Details","Exited"
"46","Techstars","ChoreMonster","1,500,000","venture","2013-07-31","Details",""
"47","The Brandery","Impulcity","","seed","2012-10-03","Details",""
"48","The Brandery","FlightCar","590,000","seed","2013-02-15","Details","Exited"
"49","The Brandery","LifeBlinx","","seed","2010-11-19","Details",""
"50","The Brandery","Pingage","600,000","seed","2013-02-01","Details",""
"51","The Brandery","Bitcasa","7,000,000","venture","2012-06-20","Details","Dead"
"52","The Brandery","Keego","20,000","seed","2014-07-18","Details",""
"53","The Brandery","Giftiki","1,000,000","venture","2011-04-20","Details","Exited"
"54","The Brandery","Shelfie","20,000","seed","2014-07-18","Details",""
