"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Tumml","KidAdmit","","seed","2013-09-01","Details",""
"2","Tumml","Weeleo","20,000","seed","2014-06-11","Details","Dead"
"3","Y Combinator","Valor Water Analytics","120,000","seed","2014-08-20","Details",""
"4","Tumml","Farmery!","20,000","seed","2014-05-01","Details",""
"5","Tumml","letsmake","20,000","seed","2014-09-01","Details",""
"6","Y Combinator","Chariot","3,000,000","seed","2015-04-22","Details","Exited"
"7","Tumml","WorkHands","20,000","seed","2013-09-01","Details",""
"8","Tumml","Sovi","20,000","seed","2014-03-01","Details",""
"9","Tumml","Neighborly","20,000","seed","2014-05-01","Details",""
"10","Tumml","PopUpsters","20,000","seed","2014-06-11","Details",""
"11","The Alchemist Accelerator","WorkHands","20,000","seed","2013-09-01","Details",""
"12","Tumml","Akimbo","20,000","seed","2014-08-01","Details",""
"13","500startups","Neighbor.ly","","venture","2014-05-01","Details",""
"14","Tumml","Valor Water Analytics","120,000","seed","2014-08-20","Details",""
"15","Y Combinator","Copia","20,000","seed","2014-05-01","Details",""
