"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Y Combinator","Mattermark","1,000,000","seed","2012-10-15","Details",""
"2","Y Combinator","EasyPost","850,000","seed","2013-06-06","Details",""
"3","Media Camp","Meograph","760,000","seed","2015-03-09","Details",""
"4","Techstars","Keen.io","750,000","seed","2012-06-10","Details",""
"5","Y Combinator","Authy","750,000","seed","2012-08-01","Details","Exited"
"6","Y Combinator","BuildZoom","1,395,000","seed","2013-06-25","Details",""
"7","Media Camp","Meograph","875,000","seed","2016-08-31","Details",""
"8","The Alchemist Accelerator","Sourcery","2,500,000","seed","2013-11-30","Details",""
"9","Y Combinator","Sourcery","2,500,000","seed","2013-11-30","Details",""
"10","Y Combinator","Mattermark","400,000","seed","2013-07-01","Details",""
