"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","500startups","Linkett","25,000","grant","2012-07-01","Details",""
"2","Y Combinator","Thalmic Labs (Myo)","25,000","grant","2012-11-01","Details",""
"3","Imagine K12","Kaizena","1,000","grant","2011-11-01","Details",""
"4","Y Combinator","BufferBox","1,000","grant","2012-03-01","Details","Exited"
"5","Y Combinator","Fiix","25,000","grant","2016-03-01","Details",""
"6","Y Combinator","BufferBox","25,000","grant","2012-03-01","Details","Exited"
"7","Communitech Hyperdrive","PumpUp","25,000","grant","2012-11-01","Details",""
"8","Y Combinator","Reebee","1,000","grant","2012-03-01","Details",""
"9","Y Combinator","Piinpoint","25,000","grant","2013-11-01","Details",""
"10","Communitech Hyperdrive","Oikoi","25,000","seed","2012-11-01","Details",""
"11","Y Combinator","Couple","25,000","grant","2011-07-01","Details","Exited"
"12","Imagine K12","Kaizena","25,000","grant","2012-07-01","Details",""
"13","Y Combinator","MetricWire","25,000","grant","2013-11-01","Details",""
"14","Y Combinator","Reebee","25,000","grant","2012-03-01","Details",""
"15","Highline","Polychart","25,000","grant","2011-11-01","Details",""
"16","Y Combinator","Vertical","25,000","grant","2014-11-01","Details",""
