"","Accelerator","Company","Funding roundsize ($)","Round","Funding Date","Crunchbase link","Exited or Dead"
"1","Techstars","Highlighter.com","300,000","angel","2011-03-15","Details","Exited"
"2","Techstars","The Shared Web","225,000","convertible_note","2011-01-01","Details","Exited"
"3","StartEngine","Flinja","","seed","2013-10-13","Details",""
"4","Techstars","Highlighter.com","330,000","angel","2011-12-01","Details","Exited"
"5","Techstars","Giant Thinkwell","300,000","seed","2012-07-01","Details",""
"6","Techstars","Giant Thinkwell","3,000,000","venture","2013-04-03","Details",""
"7","Techstars","FlexMinder","1,200,000","venture","2014-03-25","Details","Exited"
"8","Techstars","Flixmaster","4,398,376","venture","2013-01-23","Details",""
"9","Techstars","Help Scout","435,000","seed","2011-10-08","Details",""
"10","Le Camping","docTrackr","2,000,000","seed","2012-10-02","Details","Exited"
"11","Techstars","SimpleEnergy","900,000","seed","2011-09-01","Details",""
"12","Techstars","CoachUp","2,700,000","seed","2012-11-14","Details",""
"13","Techstars","Ginger.io","1,700,000","seed","2011-10-01","Details",""
"14","Techstars","ReportGrid","750,000","seed","2011-10-05","Details","Exited"
"15","Techstars","Mocavo","1,000,000","venture","2011-09-30","Details",""
"16","Techstars","Doctrackr","2,000,000","seed","2012-10-02","Details","Exited"
